brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κλάσηρύπων,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Τέληκυκλοφορίας,Κατανάλωση,Κτέομέχρι,Χρηματοδότηση,Ρύποι(co2),Παράδοσηστοσπίτι,Αυτονομίαμπαταρίας,Χωρητικότηταμπαταρίας
Opel,Corsa,2016,Opel Corsa '16 Colοr edition  TURBO,OpelCorsaColοreditionTURBO'16,326858277,11.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,12/2016,134.000χλμ,Βενζίνη,1.400cc,105bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Ύφασμα,Euro6,17ίντσες,Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,5,6ώρεςπριν,2715,www.car.gr/326858277,"6972076594,2441055213,6972076594","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,
Kia,Sportage,2021,Kia Sportage,KiaSportage'21,332973716,27.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2021,23.600χλμ,Υβριδικόπετρέλαιο,1.600cc,116bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,,,17ίντσες,Ζυγό,1,Προσθιοκίνητο(FWD),,5,5,3ημέρεςπριν,344,www.car.gr/332973716,"6937655784,6936576749","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",83€,6(Μικτό)λ/100χλμ,,,,,,
Bmw,318,2003,Bmw 318 '03,Bmw318Coupé'03,319073967,6.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2003,119.000χλμ,Βενζίνη,1.995cc,143bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,,18ίντσες,Ζυγό,2,,6,2,5,3ημέρεςπριν,2820,www.car.gr/319073967,"6936515320,6973676183","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,10(Εντός)/9(Εκτός)/8(Μικτό)λ/100χλμ,,,,,,
Chevrolet,Matiz,2006,Chevrolet Matiz '06 Ελληνικο πρωτο,ChevroletMatizΕλληνικοπρωτοχερι!'06,334029749,2.599€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2006,80.000χλμ,Αέριο(lpg)-βενζίνη,800cc,60bhp,Χειροκίνητο,Ασπρο,Μαύρο,,,,Ζυγό,,,2,5,5,5ώρεςπριν,1871,www.car.gr/334029749,6988999988,"['Abs', 'Cd player', 'Tv\\u002Fcamera', 'Ελληνικής αντιπροσωπείας', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft']",120€,"4(Εντός)/5(Εκτός)/4,50(Μικτό)λ/100χλμ",8/2023,,,,,
Peugeot,3008,2023,Peugeot 3008 '23 ACTIVE PACK AYTOMATO ΛΕΥΚΟ,Peugeot3008ACTIVEPACKAYTOMATOΛΕΥΚΟΠΕΡΛΑ'23,333627681,33.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2023,960χλμ,Πετρέλαιο,1.500cc,130bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,Euro6d-temp,17ίντσες,Άγνωστο,,Προσθιοκίνητο(FWD),6,5,5,10ώρεςπριν,1292,www.car.gr/333627681,"2109690281,2109625300","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,4/2027,,,,,
Peugeot,2008,2023,Peugeot 2008 '23 ACTIVE PLUS 100HP ΕΛΛΗΝΙΚΟ ΜΕ,Peugeot2008ACTIVEPLUS100HPΕΛΛΗΝΙΚΟΜΕΦ.Π.Α'23,334240204,26.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2023,549χλμ,Βενζίνη,1.200cc,100bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Βελούδο,Euro6d-temp,16ίντσες,Μονό,,Προσθιοκίνητο(FWD),6,5,5,10ώρεςπριν,161,www.car.gr/334240204,"2109690281,2109625300","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,1/2027,,,,,
Peugeot,3008,2018,Peugeot 3008 '18 1.2 PURETECH 130HP ALLURE PACK GRIP,Peugeot30081.2PURETECH130HPALLUREPACKGRIPCONTROL'18,333235378,23.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2018,73.991χλμ,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,Euro6,18ίντσες,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,10ώρεςπριν,519,www.car.gr/333235378,"2108940612,2108940712","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,"386,51€/μήνα",,,,
Suzuki,Swift,2010,Suzuki Swift '10 GLX KEYLESS - FULL BOOKSERVICE,SuzukiSwiftGLXKEYLESS-FULLBOOKSERVICE'10,333442390,7.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2010,197.000χλμ,Βενζίνη,1.300cc,95bhp,Χειροκίνητο,Κόκκινο,Μαύρο,Ύφασμα,,16ίντσες,Μονό,1,Προσθιοκίνητο(FWD),6,5,5,10ώρεςπριν,219,www.car.gr/333442390,"2109690281,2109625300","['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,6/2025,,,,,
Opel,Corsa,2016,Opel Corsa '16,OpelCorsaEURO6'16,316577147,8.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2016,92.800χλμ,Βενζίνη,1.000cc,90bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Ύφασμα,Euro6,16ίντσες,Χωρίς,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,26809,www.car.gr/316577147,6975020471,"['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,"146,72€/μήνα",100g/km,,,
Volkswagen,Golf,2011,Volkswagen Golf '11,VolkswagenGolfTDI'11,334313349,10.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2011,145.000χλμ,Πετρέλαιο,1.600cc,150bhp,Χειροκίνητο,Μαύρο,Μαύρο,Ύφασμα,Euro5,16ίντσες,Μονό,1,,,5,5,1ημέραπριν,1687,www.car.gr/334313349,6981893882,"['Abs', 'Bluetooth', 'Cruise control', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Φώτα που στρίβουν']",,,1/2024,,,,,
