brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κίνηση,Χρηματοδότηση,Ρύποι(co2),Κλάσηρύπων,Σύνολοκατόχων,Αερόσακοι,Κτέομέχρι,Παράδοσηστοσπίτι,Κατανάλωση
Citroen,Xantia,1997,Citroen Xantia '97 500€ ΠΡΟΚΑΤΑΒΟΛΗ ΕΩΣ 24 ΑΤΟΚΕΣ,CitroenXantia500€ΠΡΟΚΑΤΑΒΟΛΗΕΩΣ24ΑΤΟΚΕΣΔΟΣΕΙΣ!'97,31845257,2.299€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/1997,244.357χλμ,Βενζίνη,1.580cc,95bhp,Χειροκίνητο,Μπορντό,Ύφασμα,Ζυγό,5,5,3ημέρεςπριν,1858,www.car.gr/31845257,"2310705705,6945851831","['Abs', 'Bucket καθίσματα', 'Αερανάρτηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,
Nissan,Navara,2007,Nissan Navara,NissanNavara'07,334473631,15.100€,Μεταχειρισμένο,Αγροτικό/Pickup,7/2007,210.300χλμ,Πετρέλαιο,2.500cc,174bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,Ζυγό,4,5,1ημέραπριν,141,www.car.gr/334473631,6978229592,"['Abs', 'Bluetooth', 'Cd player', 'Hardtop', 'Immobilizer', 'Parktronic', 'Turbo', 'Αγροτικό', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Γκρι,16ίντσες,105€,4x4(4WD),,,,,,,,
Audi,A1,2017,Audi A1 '17  Sportback 1.0 TFSI ultra,AudiA1Sportback1.0TFSIultradesign'17,334494534,14.250€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2017,74.244χλμ,Βενζίνη,1.000cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,Άγνωστο,5,5,11ώρεςπριν,105,www.car.gr/334494534,6937149530,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Keyless', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,16ίντσες,95€,,"309,83€/μήνα",97g/km,Euro6,1,,,,
Seat,Ibiza,2018,Seat Ibiza '18 Diesel!5D! Cruise control! Με,SeatIbizaDiesel!5D!Cruisecontrol!ΜεΓραμμάτια'18,328277383,12.698€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2018,114.100χλμ,Πετρέλαιο,1.600cc,80bhp,Χειροκίνητο,Ασημί,,Άγνωστο,5,5,3ημέρεςπριν,457,www.car.gr/328277383,"2310705705,6945851831","['Abs', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,89€,Προσθιοκίνητο(FWD),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Navara,2016,Nissan Navara '16 2cab! 4x4! 6τάχυτο! Κeyless ! Με,NissanNavara2cab!4x4!6τάχυτο!Κeyless!Μεγραμμάτια!'16,328911964,23.895€Χωρίςφπα,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2016,143.120χλμ,Πετρέλαιο,2.300cc,163bhp,Χειροκίνητο,Μαύρο,Ύφασμα,Άγνωστο,4,5,3ημέρεςπριν,1813,www.car.gr/328911964,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Προβολείς ομίχλης', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,
Nissan,Qashqai,2016,Nissan Qashqai '16 Diesel!Auto!cam 360!Navi!Με,NissanQashqaiDiesel!Auto!cam360!Navi!ΜεΓραμμάτια'16,334170592,19.198€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2016,160.600χλμ,Πετρέλαιο,1.598cc,130bhp,Αυτόματο,Μαύρο,Ύφασμα,Άγνωστο,5,5,3ημέρεςπριν,95,www.car.gr/334170592,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,18ίντσες,153€,,,128g/km,Euro6,,,,,
Renault,Captur,2023,Renault Captur '23   ΕΡΓ/ΚΟ ΥΓΡΑΕΡΙΟ EQUILIBRE,RenaultCapturΕΡΓ/ΚΟΥΓΡΑΕΡΙΟEQUILIBREΠΡΟΣΦΟΡΑ'23,29015405,23.500€,,4χ4/Τζιπ/Suv,6/2023Καινούριο,,Αέριο(lpg)-βενζίνη,998cc,100bhp,Χειροκίνητο,Άλλο,,Άγνωστο,5,5,8ώρεςπριν,24577,www.car.gr/29015405,"2109578933,2109532005,6941668010","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,Προσθιοκίνητο(FWD),"353,53€/μήνα",,,,6,,,
Bmw,220ActiveTourer,2022,Bmw 220 Active Tourer '22 M,Bmw220ActiveTourerMSPORT'22,332999420,36.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2022,20.200χλμ,Υβριδικόβενζίνη,1.499cc,175bhp,Αυτόματο,Ασπρο(Μεταλλικό),Alcantara,Ζυγό,5,5,3ώρεςπριν,5741,www.car.gr/332999420,6974306540,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Φώτα led']",Μαύρο,18ίντσες,,Προσθιοκίνητο(FWD),,,,2,,,,
Renault,Kadjar,2016,Renault Kadjar '16  Energy dCi Auto 110HP,RenaultKadjarEnergydCiAuto110HPECO2'16,327660437,18.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2016,109.606χλμ,Πετρέλαιο,1.461cc,110bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),,Χωρίς,5,5,9ώρεςπριν,1139,www.car.gr/327660437,"2351045221,2351045224,6976121581","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,17ίντσες,,Προσθιοκίνητο(FWD),,,Euro6,1,8,,,
