brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Πινακίδα,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Κτέομέχρι,Κλάσηρύπων,Σύνολοκατόχων,Αερόσακοι,Μέγεθοςζάντας,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση
Volkswagen,Tiguan,2009,Volkswagen Tiguan '09 2.0,VolkswagenTiguan2.0TSI'09,332269420,15.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2009,245.300χλμ,Βενζίνη,2.000cc,280bhp,Αυτόματο,Μπλέ(Μεταλλικό),Ύφασμα,Ζυγό,4x4(4WD),5,5,3ημέρεςπριν,328,www.car.gr/332269420,6951638966,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,
Peugeot,108,2015,"Peugeot 108 '15 1,0 ΑΥΤΟΜΑΤΟ","Peugeot1081,0ΑΥΤΟΜΑΤΟ'15",325648076,9€Μεζημιά,Μεταχειρισμένο,Αλλο,1/2015,47.292χλμ,Βενζίνη,998cc,70bhp,Αυτόματο,Ασπρο,Ύφασμα,Ζυγό,Προσθιοκίνητο(FWD),5,5,17ώρεςπριν,2205,www.car.gr/325648076,"2253032200,2251048500,6907319493","['{Abs', '{Cd player', '{Immobilizer', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Υδραυλικό τιμόνι']",Γκρι,1/2022,Euro5,1,4,,,,
Bmw,316,2006,Bmw 316 '06 E90 EXCLUSIVE FULL EXTRA,Bmw316E90EXCLUSIVEFULLEXTRA5D'06,8765145,1€Μεζημιά,Μεταχειρισμένο,Αλλο,8/2006,68.000χλμ,Βενζίνη,1.596cc,122bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Άγνωστο,Πισωκίνητο(RWD),5,5,3ημέρεςπριν,32109,www.car.gr/8765145,"2253032200,2251048500,6907319493","['Abs', 'Cd player', 'Immobilizer', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,5/2017,Euro5,,9,16ίντσες,,,
Suzuki,Alto,2011,Suzuki Alto '11 SPORT,SuzukiAltoSPORTEDITION!!!ΠΡΟΣΦΟΡΑ'11,324865281,5.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2011,89.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Ύφασμα,Άγνωστο,Προσθιοκίνητο(FWD),5,5,15ώρεςπριν,15400,www.car.gr/324865281,"6977207591,2109021377","['Abs', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,1/2024,,1,4,14ίντσες,103g/km,100€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ"
Suzuki,Alto,2011,Suzuki Alto '11 SPORT,SuzukiAltoSPORTEDITION!!!ΠΡΟΣΦΟΡΑ'11,322171680,5.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2011,84.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,Άγνωστο,Προσθιοκίνητο(FWD),5,5,15ώρεςπριν,28298,www.car.gr/322171680,"6977207591,2109021377","['Abs', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,1/2024,,1,4,14ίντσες,103g/km,100€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ"
Volkswagen,PassatVariant,1999,Volkswagen Passat Variant '99 1.8 TURBO ΜΟΝΑΔΙΚΟ ΣΤΗΝ ΚΑΤΗΓΟΡΙΑ,VolkswagenPassatVariant1.8TURBOΜΟΝΑΔΙΚΟΣΤΗΝΚΑΤΗΓΟΡΙΑΤΟΥ'99,14549651,5.950€,Μεταχειρισμένο,Κόμπι/Kάραβαν,10/1999,249.500χλμ,Αέριο(lpg)-βενζίνη,1.800cc,200bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Ύφασμα,Μονό,Προσθιοκίνητο(FWD),5,5,3ημέρεςπριν,371,www.car.gr/14549651,6951638966,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Parktronic', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μαύρο,,,,,16ίντσες,,,11(Εντός)/7(Εκτός)/9(Μικτό)λ/100χλμ
Suzuki,Alto,2013,Suzuki Alto '13 SPORT,SuzukiAltoSPORTEDITION!!!'13,334342636,5.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2013,70.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Ύφασμα,Άγνωστο,Προσθιοκίνητο(FWD),5,5,15ώρεςπριν,823,www.car.gr/334342636,"6977207591,2109021377","['Abs', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,1/2024,,1,4,14ίντσες,103g/km,100€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ"
Kia,Sportage,2008,Kia Sportage '08 2.0 FULL EXTRA ΖΗΜΙΑ ΣΤΟ,KiaSportage2.0FULLEXTRAΖΗΜΙΑΣΤΟΜΟΤΕΡ'08,330679454,2.000€Μεζημιά,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2008,165.478χλμ,Βενζίνη,2.000cc,142bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,Άγνωστο,4x4(4WD),5,5,3ημέρεςπριν,1052,www.car.gr/330679454,"2253032200,2251048500,6907319493","['Abs', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",Μαύρο,1/2021,Euro4,1,6,17ίντσες,,,
Suzuki,Alto,2010,Suzuki Alto '10 SPORT,SuzukiAltoSPORTEDITION!!'10,332381924,5.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2010,75.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Πράσινο(Μεταλλικό),Ύφασμα,Άγνωστο,,5,5,15ώρεςπριν,3438,www.car.gr/332381924,"6977207591,2109021377","['Abs', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",Δίχρωμο,,,1,4,14ίντσες,104g/km,100€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ"
Suzuki,Alto,2011,Suzuki Alto '11 SPORT,SuzukiAltoSPORTEDITION!!!ΠΡΟΣΦΟΡΑ'11,325157502,5.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2011,81.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,Άγνωστο,Προσθιοκίνητο(FWD),5,5,15ώρεςπριν,669,www.car.gr/325157502,"6977207591,2109021377","['Abs', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,1/2024,,1,4,14ίντσες,103g/km,100€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ"
