brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατανάλωση,Kilowatt,Χρηματοδότηση,Παράδοσηστοσπίτι,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Opel,Astra,2012,Opel Astra '12 J,OpelAstraJGTC'12,326828469,12.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2012,117.700χλμ,Βενζίνη,1.362cc,140bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,6/2025,139g/km,19ίντσες,Euro5,168€,Μονό,2,Προσθιοκίνητο(FWD),4,3,5,1ώραπριν,186,www.car.gr/326828469,6989001000,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,,,
Opel,Adam,2018,Opel Adam '18  1.4 Unlimited ΕΛΛΗΝΙΚΟ,OpelAdam1.4UnlimitedΕΛΛΗΝΙΚΟ'18,332934593,11.900€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2018,38.000χλμ,Βενζίνη,1.400cc,90bhp,Χειροκίνητο,Κίτρινο,,,1/2027,,,,,Άγνωστο,,,,3,4,30λεπτάπριν,683,www.car.gr/332934593,2310637768,"['Bluetooth', 'Eco start\\u002Fstop', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,,,,,
Opel,GrandlandX,2020,Opel Grandland X '20  1.2 DI Turbo Business,OpelGrandlandX1.2DITurboBusinessEdition'20,327701784,25.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2020,20.000χλμ,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,1/2024,100g/km,17ίντσες,Euro6d,112€,Μονό,,,8,5,5,2ημέρεςπριν,1324,www.car.gr/327701784,6944763453,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Εγγύηση']",7(Εντός)/7(Εκτός)/7(Μικτό)λ/100χλμ,,,,,,,
Jaguar,XF,2013,Jaguar XF '13 jaguar xf,JaguarXFjaguarxf2.2cc'13,325915132,15.300€Μεζημιά,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2013,270.000χλμ,Πετρέλαιο,2.200cc,200bhp,Αυτόματο,Μόβ-βιολετί,,,,,,,,Άγνωστο,,,,5,5,30λεπτάπριν,2086,www.car.gr/325915132,2310637768,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική']",,,,,,,,
Volkswagen,Golf,2009,Volkswagen Golf '09,VolkswagenGolfTsi'09,333782120,9.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,11/2009,104χλμ,Βενζίνη,14cc,122bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Alcantara,,,18ίντσες,,255€,Άγνωστο,2,Προσθιοκίνητο(FWD),6,3,4,2ώρεςπριν,20,www.car.gr/333782120,6987729621,"['Abs', 'Cd player', 'Esp', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων']",,,,,,,,
Honda,Civic,1996,Honda Civic '96 ΕΚ4 1.6Vti 160ps,HondaCivicΕΚ41.6Vti160psγνησιο'96,334426221,3.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/1996,348.000χλμ,Βενζίνη,1.598cc,160bhp,Χειροκίνητο,Μαύρο,Μαύρο,Ύφασμα,11/2024,,15ίντσες,Euro3,250€,Μονό,2,Προσθιοκίνητο(FWD),2,4,5,2ημέρεςπριν,441,www.car.gr/334426221,6986705083,"['Abs', 'Bucket καθίσματα', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']","8,50(Εντός)/7(Εκτός)/7,50(Μικτό)λ/100χλμ",,,,,,,
Opel,Corsa,2015,Opel Corsa '15 1.3 DTE,OpelCorsa1.3DTEecoFLEX'15,334474601,8.700€,Μεταχειρισμένο,Αλλο,8/2015,186.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,1/2025,,15ίντσες,,,Ζυγό,,Προσθιοκίνητο(FWD),,5,5,2ημέρεςπριν,33,www.car.gr/334474601,6906230339,"['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,,,,,
Mercedes-Benz,C200,2016,Mercedes-Benz C 200,Mercedes-BenzC200'16,331403244,26.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2016,236.000χλμ,Πετρέλαιο,1.600cc,136bhp,Χειροκίνητο,Μπλεσκούρο,Ασπρο,,,,,,89€,Άγνωστο,,,,4,5,5ώρεςπριν,53,www.car.gr/331403244,6945245758,"['Bluetooth', 'Navigation - gps', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων']","4,90(Εντός)/3,70(Εκτός)/4,20(Μικτό)λ/100χλμ",,,,,,,
Bmw,i3,2015,Bmw i3,Bmwi3'15,334425882,16.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,110.000χλμ,Ηλεκτρικό,,170bhp,Αυτόματο,Γκρι,Καφέ,Δέρμα,,,19ίντσες,,,Άγνωστο,2,Προσθιοκίνητο(FWD),6,4,5,6ώρεςπριν,184,www.car.gr/334425882,"2109858010,6939239723,6956112756","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,127kw,,,,,,
Toyota,Corolla,2006,Toyota Corolla '06 1 Χρόνο εγγύηση πλουσια,ToyotaCorolla1Χρόνοεγγύησηπλουσιαέκδοση'06,332417813,6.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2006,245.000χλμ,Βενζίνη,1.400cc,100bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,,,15ίντσες,,,Άγνωστο,1,,6,4,5,3ώρεςπριν,68,www.car.gr/332417813,2105786180,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,"144,59€/μήνα",Ναι,,,,
