brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατανάλωση,Κίνηση,Παράδοσηστοσπίτι
Fiat,500,2015,Fiat 500 '15 LOUNCE 1.250cc EURO 6 ΟΡΟΦΗ,Fiat500LOUNCE1.250ccEURO6ΟΡΟΦΗ'15,331331782,9.890€,"196,45€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2015,87.406χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Κόκκινο,Ασπρο,Δέρμα-ύφασμα,2/2025,119g/km,15ίντσες,Euro6,116€,Ζυγό,1,6,3,5,μισόλεπτόπριν,9,www.car.gr/331331782,"2106634900,6974350500","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,
Bmw,518,1982,Bmw 518 '82 1800cc E28 ORIGINAL 75000KM,Bmw5181800ccE28ORIGINAL75000KM'82,5170564,6.000€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,2/1982,63.318χλμ,Βενζίνη,1.800cc,90bhp,Χειροκίνητο,Ασπρο,,,10/2017,282g/km,14ίντσες,Euro1,,Ζυγό,1,,4,5,1ώραπριν,16629,www.car.gr/5170564,6947791482,"['Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικοί καθρέφτες', 'Κοτσαδόρος', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι']","10,01(Εντός)/12,01(Εκτός)/8,01(Μικτό)λ/100χλμ",Πισωκίνητο(RWD),
Mitsubishi,Galant,1995,Mitsubishi Galant '95 V6 24VALVE ESP ABS KLIMA,MitsubishiGalantV624VALVEESPABSKLIMACDMp3'95,9715901,2.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/1995,107.931χλμ,Βενζίνη,1.998cc,150bhp,Χειροκίνητο,Πράσινοσκούρο(Μεταλλικό),Δίχρωμο,Δέρμα,2/2019,3g/km,15ίντσες,Euro3,,Ζυγό,1,,4,5,1ώραπριν,3649,www.car.gr/9715901,6947791482,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","8,41(Εντός)/10,01(Εκτός)/6,61(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),
Saab,9-5,2003,Saab 9-5 '03 TURBO AERO AUTOMATIC300PS,Saab9-5TURBOAEROAUTOMATIC300PSNAVI'03,8249344,5.000€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2003,114.000χλμ,Βενζίνη,2.290cc,300bhp,Αυτόματο,Ασημί(Μεταλλικό),Γκρι,Δέρμα,5/2018,214g/km,17ίντσες,Euro3,,Ζυγό,2,8,4,5,1ώραπριν,12752,www.car.gr/8249344,6947791482,"['Abs', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']","9,01(Εντός)/12,91(Εκτός)/6,71(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),
Mercedes-Benz,200,1990,Mercedes-Benz 200 '90 ΜΟΝΟ ΓΙΑ ΑΝΤΑΛΛΑΚΤΙΚΑ,Mercedes-Benz200ΜΟΝΟΓΙΑΑΝΤΑΛΛΑΚΤΙΚΑ'90,6845264,1.800€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/1990,155.000χλμ,Βενζίνη,1.998cc,118bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Άλλο,Ύφασμα,2/2019,165g/km,15ίντσες,Euro2,,Ζυγό,1,,4,5,1ώραπριν,3546,www.car.gr/6845264,6947791482,"['Abs', 'Immobilizer', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']","9,01(Εντός)/10,01(Εκτός)/7,01(Μικτό)λ/100χλμ",Πισωκίνητο(RWD),
Hyundai,i20,2014,Hyundai i 20 '14 CLASSIC FACE-LIFT,Hyundaii20CLASSICFACE-LIFTEURO-5Β'14,333422376,10.890€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2014,82.761χλμ,Βενζίνη,1.248cc,85bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,2/2024,114g/km,15ίντσες,,111€,Μονό,1,10,5,5,έναλεπτόπριν,29,www.car.gr/333422376,"2106634900,6974350500","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,Προσθιοκίνητο(FWD),
Mercedes-Benz,CE220,1973,Mercedes-Benz CE 220 '73 W115 COUPE Y/T ORIG.107534KM,Mercedes-BenzCE220W115COUPEY/TORIG.107534KM'73,5214544,25.000€,,Μεταχειρισμένο,Κουπέ-Σπόρ,1/1973,107.534χλμ,Βενζίνη,2.351cc,150bhp,Χειροκίνητο,Πράσινο(Μεταλλικό),Δίχρωμο,Δερματίνη,6/2017,265g/km,15ίντσες,Euro1,,Μονό,1,,2,5,1ώραπριν,13610,www.car.gr/5214544,6947791482,"['Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι']","9,81(Εντός)/10,21(Εκτός)/7,41(Μικτό)λ/100χλμ",Πισωκίνητο(RWD),
Mercedes-Benz,S420,1996,Mercedes-Benz S 420 '96 FACE LIFT LONG V8 24 VALVE,Mercedes-BenzS420FACELIFTLONGV824VALVE18J'96,5189578,9.000€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/1996,92.804χλμ,Βενζίνη,4.139cc,279bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Βελούδο,10/2017,355g/km,18ίντσες,Euro3,,Ζυγό,,2,4,5,1ώραπριν,16409,www.car.gr/5189578,6947791482,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Θωρακισμένο', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']","14,91(Εντός)/21,41(Εκτός)/11,21(Μικτό)λ/100χλμ",Πισωκίνητο(RWD),
Toyota,Aygo,2012,Toyota Aygo '12 1.000cc ACTIVE 5 ΘΥΡΩΝ,ToyotaAygo1.000ccACTIVE5ΘΥΡΩΝΕΞΑΙΡΕΤΙΚΟ!'12,332373761,8.290€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2012,95.046χλμ,Βενζίνη,998cc,68bhp,Χειροκίνητο,Μαύρο,Μαύρο,Ύφασμα,3/2025,105g/km,14ίντσες,Euro5,102€,Μονό,1,2,5,5,έναλεπτόπριν,15,www.car.gr/332373761,"2106634900,6974350500","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Tcs - asr', '{Usb', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Υδραυλικό τιμόνι']",,Προσθιοκίνητο(FWD),
Volkswagen,Polo,2012,Volkswagen Polo '12  GTI DSG,VolkswagenPoloGTIDSG(7-Gear)'12,334249306,15.000€,,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2012,106.000χλμ,Βενζίνη,1.400cc,180bhp,Αυτόματο,Ασπρο,Μαύρο,Ύφασμα,4/2024,,17ίντσες,,166€,Μονό,2,4,4,5,5ώρεςπριν,1719,www.car.gr/334249306,6942845830,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']","7(Εντός)/5,90(Μικτό)λ/100χλμ",,
