brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Σύνολοκατόχων,Κλάσηρύπων,Τέληκυκλοφορίας,Παράδοσηστοσπίτι,Χρηματοδότηση,Τιμήπολύτεκνου
Renault,Megane,2015,Renault Megane '15 ΠΩΛΕΙΤΑΙ ΛΟΓΟ ΑΓΟΡΑΣ MEGANE,RenaultMeganeΠΩΛΕΙΤΑΙΛΟΓΟΑΓΟΡΑΣMEGANE4'15,333590354,10.900€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2015,167.114χλμ,Πετρέλαιο,1.500cc,110bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Ύφασμα,8/2023,9g/km,16ίντσες,"5,10(Εντός)/3,70(Εκτός)/4,20(Μικτό)λ/100χλμ",Ζυγό,Προσθιοκίνητο(FWD),9,5,5,1ώραπριν,409,www.car.gr/333590354,6944855788,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
Mitsubishi,SpaceStar,2016,Mitsubishi Space Star,MitsubishiSpaceStar'16,331587823,7.350€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2016,149.000χλμ,Βενζίνη,998cc,75bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Ύφασμα,11/2025,,14ίντσες,,Άγνωστο,,4,5,5,20ώρεςπριν,649,www.car.gr/331587823,"6908553944,2102810500","['Abs', 'Cd player', 'Esp', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",,,,,,
Daewoo,Lanos,2002,Daewoo Lanos,DaewooLanos'02,334087629,1.300€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2002,192.500χλμ,Βενζίνη,1.349cc,65bhp,Χειροκίνητο,Μπορντό,,,1/2024,,,,Άγνωστο,,,4,5,22ώρεςπριν,222,www.car.gr/334087629,"2810372387,6947252851",[],1,,,,,
Toyota,Corolla,2019,Toyota Corolla '19 ΕΛΛΗΝΙΚΌ ΥΒΡΙΔΙΚΟ ΑΥΤΟΜΑΤΟΠΛΟΎΣΙΑ,ToyotaCorollaΕΛΛΗΝΙΚΌΥΒΡΙΔΙΚΟΑΥΤΟΜΑΤΟΠΛΟΎΣΙΑΈΚΔΟΣΗ'19,334272920,20.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2019,62.000χλμ,Υβριδικόβενζίνη,1.800cc,122bhp,Αυτόματο,Ασημί(Μεταλλικό),,,,,17ίντσες,,Ζυγό,,,5,5,1ώραπριν,130,www.car.gr/334272920,6980023341,"['Android auto', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
Toyota,Hilux,2018,Toyota Hilux,ToyotaHilux'18,331817983,31.500€,Μεταχειρισμένο,Αγροτικό/Pickup,9/2018,101.200χλμ,Πετρέλαιο,2.500cc,150bhp,Χειροκίνητο,Ασπρο,,,,,,,Άγνωστο,,,3,4,22ώρεςπριν,5879,www.car.gr/331817983,"2810372387,6947252851",[],,,,,,
Ford,Fiesta,2017,Ford Fiesta '17 FULL EXTRA EURO,FordFiestaFULLEXTRAEURO6'17,330778261,9.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2017,147.000χλμ,Πετρέλαιο,1.499cc,95bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),,,,,,"4,50(Μικτό)λ/100χλμ",Ζυγό,,,3,5,11ώρεςπριν,11013,www.car.gr/330778261,6977634088,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,
Citroen,C3,2005,Citroen C3 '05 F1 XTR Άριστο Ελληνικο,CitroenC3F1XTRΆριστοΕλληνικοAutomatic'05,333171962,5.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2005,139.000χλμ,Βενζίνη,1.398cc,90bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,,,14ίντσες,,Άγνωστο,,4,5,5,20ώρεςπριν,688,www.car.gr/333171962,"6908553944,2102810500","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",,,,,,
Audi,Q2,2018,Audi Q2 '18 Οθόνη Cruise Πρώτο χερι,AudiQ2ΟθόνηCruiseΠρώτοχερι25000χλμ!!'18,334428590,23.200€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2018,25.000χλμ,Πετρέλαιο,1.600cc,116bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,7/2024,,16ίντσες,,Άγνωστο,,,5,5,20ώρεςπριν,233,www.car.gr/334428590,"6908553944,2102810500","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)']",1,Euro6,,,,
Volvo,V40,2013,Volvo V40 '13,VolvoV40DIESEL*1.6*115PS*6TAXYTO*D2*MOMENTUM*ΠΑΥΛΟΥ!*'13,332044707,12.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2013,219χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,4/2025,98g/km,16ίντσες,"4(Εντός)/3,40(Εκτός)/3,60(Μικτό)λ/100χλμ",Άγνωστο,Προσθιοκίνητο(FWD),10,5,5,10ώρεςπριν,2376,www.car.gr/332044707,"2221076908,6977887387","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,Euro5,90€,Ναι,,
Toyota,Auris,2014,Toyota Auris '14 D-4D,ToyotaAurisD-4DΕΛΛΗΝΙΚΟ!'14,331209570,12.300€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2014,192.400χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Μαύρο,,,,,,,Άγνωστο,,,5,5,22ώρεςπριν,1226,www.car.gr/331209570,"2810372387,6947252851","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Immobilizer', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,,,
