brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Κλάσηρύπων,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Αερόσακοι,Παράδοσηστοσπίτι,Χρηματοδότηση,Κίνηση,Κατανάλωση,Τέληκυκλοφορίας,Ρύποι(co2)
Suzuki,SX4S-Cross,2016,Suzuki SX4 S-Cross,SuzukiSX4S-Cross'16,334356054,18.750€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2016,78.000χλμ,Βενζίνη,1.400cc,140bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,17ίντσες,Euro6c,Άγνωστο,1,5,5,11λεπτάπριν,192,www.car.gr/334356054,6989501066,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,,,
Ford,Fiesta,2016,Ford Fiesta '16 Diesel euro,FordFiestaDieseleuro6'16,334356106,8.750€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2016,141.000χλμ,Πετρέλαιο,1.500cc,75bhp,Χειροκίνητο,Ασπρο,,,,Euro6,Άγνωστο,,3,5,2ώρεςπριν,189,www.car.gr/334356106,6989501066,"['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,
Opel,Corsa,2015,Opel Corsa '15  1.4 turbo colour edition,OpelCorsa1.4turbocolouredition'15,333373459,9.999€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2015,132.000χλμ,Βενζίνη,1.400cc,101bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,,16ίντσες,Euro6,Άγνωστο,1,5,5,11λεπτάπριν,981,www.car.gr/333373459,6989501066,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",4/2024,6,,,,,,
Ford,Fiesta,2017,Ford Fiesta '17 Euro 6 ΟΘΟΝΗ,FordFiestaEuro6ΟΘΟΝΗ'17,334449088,11.750€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2017,98.000χλμ,Πετρέλαιο,1.500cc,86bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,15ίντσες,Euro6c,Χωρίς,1,3,5,11λεπτάπριν,91,www.car.gr/334449088,6989501066,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,,Ναι,,,,,
Bmw,X5,2005,Bmw X5 '05 Facelift Xdrive,BmwX5FaceliftXdriveΔΕΣΜΕΥΜΕΝΟ'05,323071272,12.200€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2005,15.000χλμ,Βενζίνη,2.993cc,231bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Γκρι,Δέρμα,19ίντσες,,Μονό,,5,5,1ημέραπριν,22227,www.car.gr/323071272,6946317446,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",10/2023,,,,,,,
Fiat,Panda,2018,Fiat Panda '18 DIESEL 95 HP  FIAT,FiatPandaDIESEL95HPFIATΛΥΣΙΚΑΤΟΣ!!ΔΕΣΜΕΥΤΗΚΕ!!'18,333210807,10.350€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2018,119.000χλμ,Πετρέλαιο,1.248cc,95bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,14ίντσες,Euro6,Μονό,1,5,5,1ημέραπριν,60,www.car.gr/333210807,"2104524002,2104524007","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,4,,"179,95€/μήνα",Προσθιοκίνητο(FWD),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat,500,2019,Fiat 500,Fiat500'19,334344082,14.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,10/2019,32χλμ,Βενζίνη,900cc,85bhp,Χειροκίνητο,Μαύρο,,,,Euro6,Ζυγό,2,2,4,2ημέρεςπριν,64,www.car.gr/334344082,6970308825,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οροφή πανοραμική', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,
Fiat,500,2010,Fiat 500 '10 F/l Lounge,Fiat500F/lLoungeDualogic'10,334494381,9.480€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2010,123.000χλμ,Βενζίνη,1.200cc,70bhp,Αυτόματο,Κόκκινο,Μαύρο,,15ίντσες,,Μονό,,3,4,1ημέραπριν,26,www.car.gr/334494381,"2106219600,2109612100,6973323607","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,6,,"166,36€/μήνα",Προσθιοκίνητο(FWD),"5,10(Μικτό)λ/100χλμ",,
Hyundai,i10,2016,Hyundai i 10 '16  1.0,Hyundaii101.0PASSION!!'16,334375014,8.690€,Μεταχειρισμένο,Αλλο,5/2016,73.000χλμ,Βενζίνη,998cc,67bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,,,Άγνωστο,1,5,5,2ώρεςπριν,38,www.car.gr/334375014,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,10,,,,,,
