brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Μέγεθοςζάντας,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κίνηση,Χρώμαεσωτερικού,Επένδυσησαλονιού,Σύνολοκατόχων,Χρηματοδότηση,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Αερόσακοι,Παράδοσηστοσπίτι,Κτέομέχρι,Τέληκυκλοφορίας,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Bmw,Z4,2007,Bmw Z4 '07 face,BmwZ4facelift'07,318945537,8.900€,Μεταχειρισμένο,Κάμπριο/Roadster,2/2007,218.000χλμ,Βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),18ίντσες,Άγνωστο,2,2,20ώρεςπριν,1784,www.car.gr/318945537,"2102856921,6944226978","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,,,,,,,,,,,,,
Morgan,Aero8,2004,Morgan Aero 8 '04 αριστη,MorganAero8αριστηκατασταση'04,316480292,99.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2004,37.000χλμ,Βενζίνη,4.400cc,300bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Άγνωστο,2,2,20ώρεςπριν,1294,www.car.gr/316480292,"2102856921,6944226978","['Bucket καθίσματα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Υδραυλικό τιμόνι']",Πισωκίνητο(RWD),,,,,,,,,,,,,,,
Cadillac,Escalade,2008,Cadillac Escalade '08 πληρωμενα τελη,CadillacEscaladeπληρωμενατελη2023'08,329314981,26.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2008,78.900χλμ,Αέριο(lpg)-βενζίνη,6.100cc,420bhp,Αυτόματο,Μαύρο,,Άγνωστο,5,7,20ώρεςπριν,1198,www.car.gr/329314981,"2102856921,6944226978","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μπλοκέ διαφορικό', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",4x4(4WD),Μπεζ,Δέρμα,1,,,,,,,,,,,,
Volkswagen,Golf,1990,Volkswagen Golf '90 GTI 8V   γνησιο,VolkswagenGolfGTI8Vγνησιοαριστο'90,29991125,8.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/1990,193.000χλμ,Βενζίνη,1.800cc,112bhp,Χειροκίνητο,Μαύρο,,Άγνωστο,5,5,20ώρεςπριν,1931,www.car.gr/29991125,"2102856921,6944226978","['Bucket καθίσματα', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ράδιοκασετ\\u002Fνο']",Προσθιοκίνητο(FWD),,,,,,,,,,,,,,,
Volvo,S80,2004,Volvo S80 '04  AUTOMATIC ΜΕ ΤΕΛΗ,VolvoS80AUTOMATICΜΕΤΕΛΗ2023'04,330037557,5.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2004,137.000χλμ,Βενζίνη,3.000cc,272bhp,Αυτόματο,Γκρι(Μεταλλικό),18ίντσες,Άγνωστο,4,5,20ώρεςπριν,1066,www.car.gr/330037557,"2102856921,6944226978","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,,,,,,,,,,,,,
Peugeot,3008,2023,Peugeot 3008 '23 ΕΤΟΙΜΟΠΑΡΑΔΟΤΟ  / PEUGEOT,Peugeot3008ΕΤΟΙΜΟΠΑΡΑΔΟΤΟ/PEUGEOTBESIKOSⓇ'23,333239288,27.900€,,4χ4/Τζιπ/Suv,5/2023Καινούριο,,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),17ίντσες,Άγνωστο,5,5,31λεπτάπριν,6301,www.car.gr/333239288,"2108001111,2108002222,6945140042","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Προσθιοκίνητο(FWD),Δίχρωμο,Ύφασμα,,"433,47€/μήνα",138g/km,Euro6d,"6,10(Μικτό)λ/100χλμ",6,Ναι,,,,,,
Dodge,RAM,2014,Dodge RAM '14 1500,DodgeRAM1500Laramie'14,334392364,49.000€,Μεταχειρισμένο,Αγροτικό/Pickup,10/2014,96.000χλμ,Βενζίνη,5.700cc,420bhp,Αυτόματο,Ασπρο,20ίντσες,Ζυγό,4,5,38λεπτάπριν,1175,www.car.gr/334392364,6947743867,"['Abs', 'Bluetooth', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Τιμόνι πολλών χρήσεων', 'Φώτα xenon']",4x4(4WD),Μπεζ,Δέρμα,2,,,Euro5,,6,,1/2025,105€,,,,
AlfaRomeo,Giulietta,2013,Alfa Romeo Giulietta,AlfaRomeoGiulietta'13,333867467,14.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2013,150.000χλμ,Πετρέλαιο,1.600cc,140bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),18ίντσες,Μονό,5,5,2ημέρεςπριν,478,www.car.gr/333867467,6948883057,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα led']",,Μαύρο,Ύφασμα,,,,,7(Εντός)/5(Εκτός)/λ/100χλμ,8,,,111€,,,,
Jaguar,F-Type,2019,Jaguar F-Type '19 R,JaguarF-TypeRDYNAMIC'19,333920142,68.900€,Μεταχειρισμένο,Κουπέ-Σπόρ,8/2019,47.200χλμ,Βενζίνη,2.000cc,300bhp,Αυτόματο,Γκρι(Μεταλλικό),,Άγνωστο,2,2,20ώρεςπριν,854,www.car.gr/333920142,"2102856921,6944226978","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",Πισωκίνητο(RWD),,,,,,,,,,,,,,,
Audi,A4allroad,2019,Audi A4 allroad '19 2.0TFSI quattro MHEV S tronic,AudiA4allroad2.0TFSIquattroMHEVStronicΠΡΟΣΦΟΡΑ'19,333289394,47.900€,Μεταχειρισμένο,Κόμπι/Kάραβαν,6/2019,79.500χλμ,Υβριδικόβενζίνη,2.000cc,252bhp,Αυτόματο,Γκρι(Μεταλλικό),,Άγνωστο,5,5,20ώρεςπριν,600,www.car.gr/333289394,"2102856921,6944226978","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",4x4(4WD),Μαύρο,Δέρμα,1,,147g/km,Euro6,"6,40(Εκτός)/λ/100χλμ",,,,,,,,
