brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κλάσηρύπων,Παράδοσηστοσπίτι,Ρύποι(co2),Κατανάλωση,Τιμήπολύτεκνου
Jaguar,XJS,1996,Jaguar XJS '96,JaguarXJS<<CELEBRATION>>/MANUAL5SPEED'96,35731316,32.700€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/1996,78.900χλμ,Βενζίνη,4.000cc,241bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Άλλο,Δέρμα,1/2024,16ίντσες,0€,Ζυγό,1,Προσθιοκίνητο(FWD),2,3,4,1ημέραπριν,13982,www.car.gr/35731316,"2106528282,6955259259","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Immobilizer', 'Usb', 'Αντίκα', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Απο οδδυ', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Mini,CooperD,2016,"Mini Cooper D '16 Αυτόματο!Πετρέλαιο!1,5!Γραμμάτια μεταξύ","MiniCooperDΑυτόματο!Πετρέλαιο!1,5!Γραμμάτιαμεταξύμας!'16",328826127,16.748€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,74.000χλμ,Πετρέλαιο,1.500cc,116bhp,Αυτόματο,Μπλέ,,,,,,Άγνωστο,,Προσθιοκίνητο(FWD),,3,5,3ημέρεςπριν,861,www.car.gr/328826127,"2310705705,6945851831","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ελληνικής αντιπροσωπείας', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Nissan,Navara,2019,Nissan Navara,NissanNavara'19,333192473,23.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2019,134.800χλμ,Πετρέλαιο,2.299cc,163bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Alcantara,1/2025,16ίντσες,105€,Άγνωστο,1,,6,2,4,6ώρεςπριν,955,www.car.gr/333192473,"6947972820,6947972820","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",Euro6d-temp,Ναι,,,
Peugeot,207,2008,Peugeot 207 '08 1.6 PREMIUM 1ΤΟ,Peugeot2071.6PREMIUM1ΤΟΧΕΡΙ'08,334313437,5.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2008,213.597χλμ,Βενζίνη,1.598cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,6/2024,,,Ζυγό,1,,,5,5,17λεπτάπριν,138,www.car.gr/334313437,2102795534,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Peugeot,308,2018,Peugeot 308 '18 active!sw!auto!diesel!navi!Γραμμάτια μεταξύ,Peugeot308active!sw!auto!diesel!navi!Γραμμάτιαμεταξύμας'18,325277133,16.198€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2018,148.900χλμ,Πετρέλαιο,1.560cc,120bhp,Αυτόματο,Ασπρο,,Δέρμα-ύφασμα,,16ίντσες,89€,Άγνωστο,,,,5,5,3ημέρεςπριν,1650,www.car.gr/325277133,"2310705705,6945851831","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6,,99g/km,"4,20(Εντός)/3,20(Εκτός)/3,80(Μικτό)λ/100χλμ",
Volkswagen,Kaefer,1972,Volkswagen Kaefer '72 1302,VolkswagenKaefer1302/ευκαιρία!!!!'72,325389180,6.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/1972,43.411χλμ,Βενζίνη,1.285cc,36bhp,Χειροκίνητο,Πορτοκαλί(Μεταλλικό),Μαύρο,Δέρμα,1/2024,,135€,Μονό,1,Πισωκίνητο(RWD),,2,5,1ημέραπριν,3816,www.car.gr/325389180,"2106528282,6955259259","['Αντίκα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας']",,,,,
Fiat,500,2014,Fiat 500 '14 1.2 CABRIO EURO,Fiat5001.2CABRIOEURO6'14,333371995,10.800€,Μεταχειρισμένο,Κάμπριο/Roadster,5/2014,98.393χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Ασπρο,,,5/2025,,,Άγνωστο,,,,3,4,17λεπτάπριν,448,www.car.gr/333371995,2102795534,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Euro6,,,,
Skoda,Citigo,2016,Skoda Citigo '16 CITIGOe iV,SkodaCitigoCITIGOeiVStyle'16,333339615,7.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,3/2016,92.507χλμ,Βενζίνη,999cc,60bhp,Χειροκίνητο,Ασπρο,,,5/2025,,,Άγνωστο,,,,3,5,17λεπτάπριν,570,www.car.gr/333339615,2102795534,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']",Euro6,,,"4,60(Εντός)/3,90(Εκτός)/4,20(Μικτό)λ/100χλμ",
Peugeot,308,2018,Peugeot 308 '18,"Peugeot3081.6HDI,100HP,NAVI,ΟΘΟΝΗ,PARKTRONIC,ΓΡΑΜΜΑΤΙΑ!'18",323296818,14.798€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2018,124.500χλμ,Πετρέλαιο,1.560cc,100bhp,Χειροκίνητο,Ασπρο,,,,,85€,Ζυγό,,,,5,5,3ημέρεςπριν,1605,www.car.gr/323296818,"2310705705,6945851831","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,95g/km,,
Renault,Clio,2007,Renault Clio '07   Raising Sport,RenaultClioRaisingSportRS'07,332120045,12.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,2/2007,81.000χλμ,Βενζίνη,1.998cc,200bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Γκρι,Ύφασμα,1/2025,17ίντσες,,Μονό,1,Προσθιοκίνητο(FWD),6,3,5,1ημέραπριν,3119,www.car.gr/332120045,"2106528282,6955259259","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,
