brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Κίνηση,Παράδοσηστοσπίτι
Mercedes-Benz,A250,2020,Mercedes-Benz A 250 '20  e Edition 2020 8G-DCT,Mercedes-BenzA250eEdition20208G-DCTAMG'20,333145482,40.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2020,25.034χλμ,Υβριδικόplug-inβενζίνη,1.332cc,218bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,12/2024,34g/km,18ίντσες,Euro6d,0€,"1,30(Εντός)/7,50(Μικτό)λ/100χλμ",Άγνωστο,1,8,5,5,1ώραπριν,724,www.car.gr/333145482,"2541304346,6937034343","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,
Volkswagen,GolfSportsvan,2015,Volkswagen Golf Sportsvan '15 1.6 ΤDI 110HP BlueMotion,VolkswagenGolfSportsvan1.6ΤDI110HPBlueMotionEURO-6'15,332573654,13.690€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2015,140.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μπεζ,Ύφασμα,,101g/km,16ίντσες,Euro6,99€,"4,60(Εντός)/3,70(Εκτός)/4,10(Μικτό)λ/100χλμ",Άγνωστο,,7,5,5,14ώρεςπριν,329,www.car.gr/332573654,"2102828001,6945955830,6987721808","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","266,93€/μήνα",Προσθιοκίνητο(FWD),
Ford,Fiesta,2016,Ford Fiesta '16 1.0 ECO BOOST 140HP TITANIUM,FordFiesta1.0ECOBOOST140HPTITANIUMEURO-6'16,332697427,9.290€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2016,183.000χλμ,Βενζίνη,1.000cc,140bhp,Χειροκίνητο,Μπλέ,Γκρι,Ύφασμα,,104g/km,16ίντσες,Euro6,102€,,Άγνωστο,,4,3,5,1ημέραπριν,429,www.car.gr/332697427,"2102828001,6945955830,6987721808","['Abs', 'Bluetooth', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","181,14€/μήνα",Προσθιοκίνητο(FWD),
Kia,Ceed,2013,Kia Ceed '13 1.6 CRDI,KiaCeed1.6CRDI'13,333431106,10.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2013,185.111χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,11/2023,105g/km,15ίντσες,Euro5,102€,"5,80(Εντός)/4,70(Εκτός)/5(Μικτό)λ/100χλμ",Μονό,,8,5,5,18ώρεςπριν,376,www.car.gr/333431106,6994801184,"['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κοτσαδόρος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,
Jaguar,X-Type,2001,Jaguar X-Type,JaguarX-Type'01,25576862,6.500€,Μεταχειρισμένο,Αλλο,8/2001,93.074χλμ,Βενζίνη,2.967cc,1bhp,Χειροκίνητο,Μπορντό(Μεταλλικό),Μπεζ,Δέρμα,,,,,,,Μονό,2,,4,4,2ημέρεςπριν,4583,www.car.gr/25576862,"2610428932,6948722036,6944582398","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Απόσυρσης-δικαίωμα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,4x4(4WD),
Opel,Vectra,2004,Opel Vectra '04,OpelVectraC'04,333579240,3.550€,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2004,196.000χλμ,Αέριο(lpg)-βενζίνη,1.600cc,105bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Βελούδο,5/2024,,16ίντσες,,265€,"8(Εντός)/7(Εκτός)/7,50(Μικτό)λ/100χλμ",Άγνωστο,2,8,4,5,40λεπτάπριν,593,www.car.gr/333579240,6979578976,"['Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),
Bmw,114,2019,Bmw 114 '19 1.5 DIESEL 95HP,Bmw1141.5DIESEL95HPEΛΛΗΝΙΚΟ*EURO-6*'19,332745550,16.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2019,93.000χλμ,Πετρέλαιο,1.500cc,95bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,95g/km,16ίντσες,Euro6,86€,"5(Εντός)/3,80(Εκτός)/4,30(Μικτό)λ/100χλμ",Μονό,,6,5,5,14ώρεςπριν,1049,www.car.gr/332745550,"2102828001,6945955830,6987721808","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","331,27€/μήνα",Προσθιοκίνητο(FWD),
Volkswagen,Passat,2006,Volkswagen Passat,VolkswagenPassat'06,327101874,4.900€,Μεταχειρισμένο,Αλλο,11/2006,207.056χλμ,Βενζίνη,1.984cc,150bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,6/2023,,,,,,Ζυγό,,,5,5,2ημέρεςπριν,2120,www.car.gr/327101874,"2610428932,6948722036,6944582398","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']",,,
Audi,TT,2007,Audi TT,AudiTT'07,327066260,19.900€,Μεταχειρισμένο,Αλλο,10/2007,39.993χλμ,Βενζίνη,1.984cc,200bhp,Αυτόματο,Κόκκινο(Μεταλλικό),Μαύρο,Δέρμα,,,,,,,Ζυγό,1,,3,4,2ημέρεςπριν,2189,www.car.gr/327066260,"2610428932,6948722036,6944582398","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Parktronic', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,
Renault,Megane,2001,Renault Megane,RenaultMegane'01,334404384,1.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2001,239.000χλμ,Βενζίνη,1.390cc,95bhp,Χειροκίνητο,Μπλέ,Δίχρωμο,Δέρμα-ύφασμα,7/2023,,15ίντσες,,,,Ζυγό,,4,3,4,2ώρεςπριν,255,www.car.gr/334404384,"2102515079,6977652971","['Abs', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,
