brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Επένδυσησαλονιού,Κτέομέχρι,Κλάσηρύπων,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Χρηματοδότηση,Χρώμαεσωτερικού,Ρύποι(co2),Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση
Toyota,Verso,2002,Toyota Verso,ToyotaVerso'02,334302766,5.500€,Μεταχειρισμένο,Κόμπι/Kάραβαν,4/2002,200.141χλμ,Βενζίνη,1.299cc,90bhp,Χειροκίνητο,Πράσινοσκούρο(Μεταλλικό),Μονό,5,7,16ώρεςπριν,46,www.car.gr/334302766,2106029106,"['{Abs', '{Immobilizer', '{Ατρακάριστο', '{Ζάντες αλουμινίου', '{Κεντρικό κλείδωμα', '{Μη καπνιστή', '{Υδραυλικό τιμόνι']",,,,,,,,,,,,
Opel,Corsa,2018,Opel Corsa '18 Ε  2018   1.4,OpelCorsaΕ20181.4BENZ'18,29810911,3.500€Μεζημιά,Μεταχειρισμένο,Κουπέ-Σπόρ,3/2018,22.589χλμ,Βενζίνη,1.400cc,90bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Άγνωστο,5,5,3ημέρεςπριν,14258,www.car.gr/29810911,"2253032200,2251048500,6907319493","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Ύφασμα,3/2022,Euro5,1,Προσθιοκίνητο(FWD),4,,,,,,
Volkswagen,Eos,2006,Volkswagen Eos,VolkswagenEos'06,333481408,5.500€,Μεταχειρισμένο,Κάμπριο/Roadster,11/2006,287.000χλμ,Βενζίνη,1.984cc,138bhp,Χειροκίνητο,Μαύρο,Ζυγό,3,4,16ώρεςπριν,462,www.car.gr/333481408,2106029106,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",,,,,,,,,,,,
Audi,A3,2018,Audi A3 '18 1.6 TDI 30 Business 116 PS,AudiA31.6TDI30Business116PSΕΛΛΗΝΙΚΟ'18,334422201,17.799€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2018,102.000χλμ,Πετρέλαιο,1.600cc,116bhp,Χειροκίνητο,Ασπρο,Άγνωστο,5,5,έναλεπτόπριν,504,www.car.gr/334422201,"2511103288,6980471111","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",Ύφασμα,,Euro6c,1,,8,"347,97€/μήνα",Μαύρο,118g/km,16ίντσες,115€,"4,50(Εντός)/3,70(Εκτός)/4(Μικτό)λ/100χλμ"
Volkswagen,Up,2016,Volkswagen Up '16  CNG ECO,VolkswagenUpCNGECOUP!'16,333386400,10.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2016,100.834χλμ,Φυσικόαέριο(cng)-βενζίνη,999cc,68bhp,Χειροκίνητο,Ασπρο,Άγνωστο,3,5,16ώρεςπριν,155,www.car.gr/333386400,2106029106,"['{Abs', '{Bucket καθίσματα', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Βιβλίο service', '{Εγγύηση', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Υδραυλικό τιμόνι', '{Φώτα led']",,,,,,,,,,,,
Citroen,C3,2012,Citroen C3 '12,CitroenC3e-HDI'12,332747223,9.290€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2012,101.748χλμ,Πετρέλαιο,1.398cc,73bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μονό,5,5,16ώρεςπριν,431,www.car.gr/332747223,2106029106,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Υδραυλικό τιμόνι']",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeep,Cherokee,2011,Jeep Cherokee '11,JeepCherokeeKK'11,333115309,100€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2011,9.999χλμ,Πετρέλαιο,2.800cc,180bhp,Αυτόματο,Πράσινο(Μεταλλικό),Άγνωστο,5,5,3ημέρεςπριν,519,www.car.gr/333115309,"2253032200,2251048500,6907319493",[],,7/2023,,1,4x4(4WD),,,,,,,
Toyota,Yaris,2016,Toyota Yaris '16,ToyotaYarisHYBRID'16,327885886,14.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2016,141.362χλμ,Υβριδικόβενζίνη,1.497cc,100bhp,Αυτόματο,Ασπρο,Άγνωστο,5,5,16ώρεςπριν,1223,www.car.gr/327885886,2106029106,"['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,,,,,,,,
Peugeot,308,2017,"Peugeot 308 '17 1,6 Blue Hdi  Active  120 HP","Peugeot3081,6BlueHdiActive120HPΕΛΛΗΝΙΚΟ'17",332915646,10.999€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2017,127.000χλμ,Πετρέλαιο,1.560cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Άγνωστο,5,5,1λεπτόπριν,1701,www.car.gr/332915646,"2511103288,6980471111","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Turbo', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",Ύφασμα,4/2025,Euro6,1,Προσθιοκίνητο(FWD),8,"215,03€/μήνα",Μαύρο,94g/km,16ίντσες,84€,
