brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Κλάσηρύπων,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Χρώμαεσωτερικού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Παράδοσηστοσπίτι,Επένδυσησαλονιού
Renault,Clio,2017,Renault Clio '17 Dci intens full,RenaultClioDciintensfullled'17,333524387,12.700€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2017,93.000χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Γκρι,Euro6,Άγνωστο,5,5,16ώρεςπριν,441,www.car.gr/333524387,"6949907542,6949907542","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Turbo', '{Tv\\u002Fcamera', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot,3008,2017,Peugeot 3008 '17 1.6 HDI Active GRIP Control,Peugeot30081.6HDIActiveGRIPControl'17,329147638,22.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2017,145.110χλμ,Πετρέλαιο,1.560cc,125bhp,Χειροκίνητο,Μαύρο,Euro6c,Ζυγό,5,5,12ώρεςπριν,3923,www.car.gr/329147638,"2261080300,6937015215","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Ράγες οροφής', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Φώτα led', '{Φώτα που στρίβουν']","429,77€/μήνα",Γκρι,5/2023,111g/km,18ίντσες,98€,"4,20(Μικτό)λ/100χλμ",1,4x4(4WD),6,Ναι,
Citroen,Saxo,2002,Citroen Saxo '02 FULL GROUP,CitroenSaxoFULLGROUPΑ.'02,318336587,21.500€,Μεταχειρισμένο,Αγωνιστικό,7/2002,1χλμ,Βενζίνη,1.600cc,198bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Άγνωστο,3,2,15ώρεςπριν,3643,www.car.gr/318336587,"6977072270,2651181588,6977072270","['Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Μπλοκέ διαφορικό']",,Γκρι,,,15ίντσες,,,,Πισωκίνητο(RWD),,,Alcantara
Mercedes-Benz,C200,2008,Mercedes-Benz C 200 '08  Compressor T-Modell,Mercedes-BenzC200CompressorT-ModellElegance'08,333396181,10.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2008,252.000χλμ,Αέριο(lpg)-βενζίνη,1.796cc,156bhp,Αυτόματο,Μαύρο,,Άγνωστο,5,5,16ώρεςπριν,1901,www.car.gr/333396181,"6949907542,6949907542","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Μαύρο,,,17ίντσες,,,,Πισωκίνητο(RWD),,,Δέρμα
Volvo,V40CrossCountry,2016,Volvo V40 Cross Country '16 KINETIC,VolvoV40CrossCountryKINETIC/NAVI/AUTO/XENON/LED/T3'16,333725618,15.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2016,113.268χλμ,Βενζίνη,1.498cc,152bhp,Αυτόματο,Ασπρο(Μεταλλικό),Euro6d,Ζυγό,5,5,11ώρεςπριν,932,www.car.gr/333725618,"2261080300,6937015215","['{Abs', '{Adaptive cruise control (acc)', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κλιματισμός αυτόματος', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon', '{Φώτα που στρίβουν']","291,62€/μήνα",,,131g/km,17ίντσες,,"7(Εντός)/5,80(Εκτός)/5(Μικτό)λ/100χλμ",1,,9,,
Renault,Fluence,2012,Renault Fluence,RenaultFluence'12,333524595,8.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2012,220.000χλμ,Αέριο(lpg)-βενζίνη,1.600cc,0bhp,Χειροκίνητο,Μπλέ,Euro5,Άγνωστο,5,5,16ώρεςπριν,242,www.car.gr/333524595,"6949907542,6949907542","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,Μπεζ,,,,,,,,,,Δέρμα-ύφασμα
Volkswagen,Golf,2011,Volkswagen Golf '11,VolkswagenGolfTDI'11,334313349,10.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2011,145.000χλμ,Πετρέλαιο,1.600cc,150bhp,Χειροκίνητο,Μαύρο,Euro5,Μονό,5,5,2ημέρεςπριν,1688,www.car.gr/334313349,6981893882,"['Abs', 'Bluetooth', 'Cruise control', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Φώτα που στρίβουν']",,Μαύρο,1/2024,,16ίντσες,,,1,,,,Ύφασμα
Smart,ForTwo,2016,Smart ForTwo '16,SmartForTwoAUTO-LEATHER-NAVI.'16,333979470,13.900€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2016,93.412χλμ,Βενζίνη,1.000cc,70bhp,Αυτόματο,Ασπρο(Μεταλλικό),,Άγνωστο,2,2,15ώρεςπριν,267,www.car.gr/333979470,"6977072270,2651181588,6977072270","['{Abs', '{Adaptive cruise control (acc)', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,Μαύρο,,,17ίντσες,,"3,90(Εντός)/3,50(Εκτός)/3,70(Μικτό)λ/100χλμ",,Πισωκίνητο(RWD),6,,Δέρμα
Fiat,500,2017,Fiat 500 '17  1.2 8V Start&Stopp Lounge,Fiat5001.28VStart&StoppLoungeDualogic'17,330456191,12.200€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2017,73.711χλμ,Βενζίνη,1.200cc,71bhp,Χειροκίνητο,Μπορντό(Μεταλλικό),Euro6d,Άγνωστο,3,4,11ώρεςπριν,1954,www.car.gr/330456191,"2261080300,6937015215","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Parktronic', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα που στρίβουν']","228,06€/μήνα",,7/2023,115g/km,15ίντσες,,,1,,6,,
