brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατανάλωση,Κίνηση,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Ρύποι(co2),Παράδοσηστοσπίτι,Χρηματοδότηση
Hyundai,i10,2016,Hyundai i 10 '16  1.0,Hyundaii101.0PASSION!!'16,334375014,8.690€,Μεταχειρισμένο,Αλλο,5/2016,73.000χλμ,Βενζίνη,998cc,67bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,10,5,5,3ώρεςπριν,39,www.car.gr/334375014,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,
Fiat,Punto,2009,Fiat Punto '09 Βενζίνη-Φυσικό,FiatPuntoΒενζίνη-Φυσικόαέριο!!'09,334060144,6.690€,Μεταχειρισμένο,Αλλο,11/2009,131.000χλμ,Φυσικόαέριο(cng)-βενζίνη,1.368cc,77bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,10,5,5,3ώρεςπριν,16,www.car.gr/334060144,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,
Fiat,GrandePunto,2009,Fiat Grande Punto '09 Βενζίνη-Φυσικό,FiatGrandePuntoΒενζίνη-Φυσικόαέριο!!'09,334060121,6.690€,Μεταχειρισμένο,Αλλο,11/2009,131.000χλμ,Φυσικόαέριο(cng)-βενζίνη,1.368cc,77bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,10,5,5,3ώρεςπριν,20,www.car.gr/334060121,6981128411,"['Abs', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,
Opel,Corsa,2018,Opel Corsa '18 1.3 CDTI,OpelCorsa1.3CDTIExpression'18,333687729,9.490€,Μεταχειρισμένο,Αλλο,10/2018,63.000χλμ,Πετρέλαιο,1.248cc,75bhp,Χειροκίνητο,Ασπρο,Μαύρο,,Άγνωστο,1,6,5,5,3ώρεςπριν,75,www.car.gr/333687729,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,,,,,,
Volkswagen,Golf,2014,Volkswagen Golf '14 1.2 TSI,VolkswagenGolf1.2TSITRENDLINE!!'14,321549965,9.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2014,182.000χλμ,Βενζίνη,1.197cc,105bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,Άγνωστο,1,10,5,5,3ώρεςπριν,81,www.car.gr/321549965,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,
Mercedes-Benz,A140,2007,Mercedes-Benz A 140 '07,Mercedes-BenzA140CLASSIC!!'07,334426421,3.490€,Μεταχειρισμένο,Αλλο,6/2007,167.000χλμ,Βενζίνη,1.397cc,85bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα,Άγνωστο,1,6,5,5,3ώρεςπριν,151,www.car.gr/334426421,6981128411,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']",,,,,,,,,
Mercedes-Benz,A200,2019,Mercedes-Benz A 200,Mercedes-BenzA200'19,333033128,34.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2019,48.900χλμ,Βενζίνη,1.400cc,185bhp,Αυτόματο,Μαύρο(Μεταλλικό),,,Μονό,,,5,5,12ώρεςπριν,428,www.car.gr/333033128,6948008500,[],,,,,,,,,
Mercedes-Benz,E280,2008,Mercedes-Benz E 280,Mercedes-BenzE280'08,331702601,13.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2008,149.000χλμ,Βενζίνη,2.997cc,231bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Γκρι,Δέρμα,Ζυγό,,,5,5,3λεπτάπριν,3490,www.car.gr/331702601,6977634088,"['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Ατρακάριστο', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Φώτα xenon', '{Φώτα που στρίβουν']",8(Μικτό)λ/100χλμ,Πισωκίνητο(RWD),,,,,,,
Opel,Corsa,2006,Opel Corsa,OpelCorsa'06,334444119,3.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2006,205.000χλμ,Αέριο(lpg)-βενζίνη,1.400cc,90bhp,Χειροκίνητο,Γκρι,Μαύρο,Ύφασμα,Άγνωστο,1,2,5,4,2ημέρεςπριν,61,www.car.gr/334444119,6988590861,"['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']",,,1/2025,Euro4,15ίντσες,,,,
Audi,A3,2006,Audi A3,AudiA3'06,328399869,7.600€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2006,196.000χλμ,Βενζίνη,1.600cc,116bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Δέρμα,Μονό,2,6,3,5,2ημέρεςπριν,56,www.car.gr/328399869,6983286345,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Navigation - gps', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","6(Εντός)/6(Εκτός)/6,50(Μικτό)λ/100χλμ",,9/2024,,18ίντσες,280€,,,
