brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Παράδοσηστοσπίτι,Kilowatt
LandRover,RangeRoverEvoque,2019,Land Rover Range Rover Evoque '19 Mild hybrid D180 SE,LandRoverRangeRoverEvoqueMildhybridD180SE'19,323363108,55.000€,"821,76€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2019,59.000χλμ,Πετρέλαιο,1.998cc,180bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,11/2022,145g/km,Euro6d-temp,20ίντσες,268€,"6(Εντός)/7(Εκτός)/6,50(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,10ώρεςπριν,13179,www.car.gr/323363108,"6948835645,6972821014","['Δεξιοτίμονα', 'Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche,Cayenne,2015,Porsche Cayenne '15 E Hybrid S,PorscheCayenneEHybridS'15,325829009,57.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2015,87.000χλμ,Υβριδικόplug-inβενζίνη,3.000cc,416bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα,6/2023,65g/km,Euro6,20ίντσες,0€,7(Εντός)/9(Εκτός)/8(Μικτό)λ/100χλμ,Ζυγό,1,4x4(4WD),10,5,5,10ώρεςπριν,4466,www.car.gr/325829009,"6948835645,6972821014","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",40χλμ,6ώρες,1ώρες,90kwh,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Pixo,2010,Nissan Pixo '10 *ANDREADIS,NissanPixo*ANDREADISCARS*'10,333631402,5.990€,"134,46€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2010,130.000χλμ,Βενζίνη,1.000cc,80bhp,Χειροκίνητο,Κόκκινο,,,,,,,,,Μονό,,,,5,4,1ημέραπριν,362,www.car.gr/333631402,"2114188539,6932899838",[],,,,,,
Mercedes-Benz,C230,2008,Mercedes-Benz C 230 '08 *ANDREADIS CARS*C 63 AMG LOOK 7 G-TRONIC,Mercedes-BenzC230*ANDREADISCARS*C63AMGLOOK7G-TRONIC'08,332476635,17.990€,"403,82€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2008,180.000χλμ,Βενζίνη,2.496cc,260bhp,Αυτόματο,Ασπρο,,,,,,,,,Μονό,,,,4,5,1ημέραπριν,1044,www.car.gr/332476635,"2114188539,6932899838",[],,,,,,
Ford,Fiesta,2009,Ford Fiesta,FordFiesta'09,333796430,6.900€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2009,270χλμ,Βενζίνη,1.383cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Ύφασμα,3/2025,,,,,,Μονό,1,,,5,5,3ημέρεςπριν,122,www.car.gr/333796430,"2321045551,6955331713,6955331713","['Abs', 'Bluetooth', 'Cd player', 'Immobilizer', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,Ναι,
Fiat,500C,2013,Fiat 500C '13 F/l Lounge Pack,Fiat500CF/lLoungePackEuro6'13,334494506,10.720€,"209,02€/μήνα",Μεταχειρισμένο,Κάμπριο/Roadster,11/2013,70.000χλμ,Βενζίνη,1.200cc,70bhp,Χειροκίνητο,Μαύρο,Μπεζ,Δέρμα-ύφασμα,,119g/km,Euro6,15ίντσες,117€,"4,90(Μικτό)λ/100χλμ",Άγνωστο,,Προσθιοκίνητο(FWD),6,3,5,12ώρεςπριν,12,www.car.gr/334494506,"2109612100,2106219600","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,
Mercedes-Benz,GLC350,2016,Mercedes-Benz GLC 350 '16 GLC  350 e 4MATIC Hybrid,Mercedes-BenzGLC350GLC350e4MATICHybridPlugi'16,334494505,37.000€,"563,41€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2016,195.000χλμ,Υβριδικόplug-inβενζίνη,1.990cc,320bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,,,Euro6,18ίντσες,,,Χωρίς,1,4x4(4WD),6,5,5,1ημέραπριν,119,www.car.gr/334494505,"2511810163,6936974857,6947486426","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
Toyota,Yaris,2007,Toyota Yaris '07 *ANDREADIS,ToyotaYaris*ANDREADISCARS*'07,334015715,6.490€,"145,68€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2007,198.000χλμ,Βενζίνη,1.000cc,80bhp,Χειροκίνητο,Μαύρο,,,,,,,,,Μονό,,,,4,5,1ημέραπριν,286,www.car.gr/334015715,"2114188539,6932899838",[],,,,,,
