brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Τιμήπολύτεκνου,Χρηματοδότηση,Τέληκυκλοφορίας
Fiat,PuntoEvo,2011,Fiat Punto Evo '11 #1.3,FiatPuntoEvo#1.3MTJ#'11,332248879,7.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2011,130.000χλμ,Πετρέλαιο,1.248cc,85bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Άγνωστο,5,5,3ώρεςπριν,1245,www.car.gr/332248879,"6994716403,6947274882","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,,,,,,,,,,,,,,,,,
Citroen,C4Cactus,2014,Citroen C4 Cactus '14 1.6 100HP ETG SHINE 1ο,CitroenC4Cactus1.6100HPETGSHINE1οΧΕΡΙ!!!'14,333648270,11.900€,Μεταχειρισμένο,Αλλο,9/2014,172.651χλμ,Πετρέλαιο,1.560cc,100bhp,Αυτόματο,Γκρι(Μεταλλικό),Ζυγό,5,5,9ώρεςπριν,542,www.car.gr/333648270,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,Ύφασμα,8/2023,17ίντσες,1,Προσθιοκίνητο(FWD),6,,,,,,,,,,,
Citroen,AMI8,2023,Citroen AMI 8 '23 MY AMI ORANGE,CitroenAMI8MYAMIORANGE'23,333825670,8.200€,,Αλλο,2/2023Καινούριο,10χλμ,Ηλεκτρικό,,8bhp,Αυτόματο,Μπλέ,Μονό,2,2,9ώρεςπριν,659,www.car.gr/333825670,2105121505,"['Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Φώτα led']",Μαύρο,,2/2027,,,Προσθιοκίνητο(FWD),,6kw,75χλμ,3ώρες,2ώρες,5kwh,,,,,,
LandRover,RangeRoverEvoque,2016,Land Rover Range Rover Evoque,LandRoverRangeRoverEvoque'16,322133733,34.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2016,148.800χλμ,Πετρέλαιο,2.000cc,150bhp,Αυτόματο,Ασπρο(Μεταλλικό),Ζυγό,5,5,3ώρεςπριν,14610,www.car.gr/322133733,"6994716403,6947274882","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,4/2023,19ίντσες,2,4x4(4WD),,,,,,,134g/km,Euro6,,,,
Citroen,C5Aircross,2022,Citroen C5 Aircross '22  FL 1.5 BHDI 130 EAT8 Launch Edition,CitroenC5AircrossFL1.5BHDI130EAT8LaunchEdition2'22,332711944,37.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2022,4.782χλμ,Πετρέλαιο,1.499cc,130bhp,Αυτόματο,Ασημί(Μεταλλικό),Ζυγό,5,5,9ώρεςπριν,1103,www.car.gr/332711944,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,Alcantara,10/2026,18ίντσες,1,Προσθιοκίνητο(FWD),6,,,,,,145g/km,Euro6d,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",,,
Peugeot,Traveller,2018,Peugeot Traveller '18 1.6 115HP 9S,PeugeotTraveller1.6115HP9SXL'18,326889277,40.000€,Μεταχειρισμένο,Van/MiniBus,5/2018,75.990χλμ,Πετρέλαιο,1.560cc,115bhp,Χειροκίνητο,Ασπρο,Μονό,5,9,9ώρεςπριν,3398,www.car.gr/326889277,2105121505,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,Ύφασμα,5/2022,,,Προσθιοκίνητο(FWD),,,,,,,,,,,,
Audi,A5,2016,Audi A5 '16 #2.0 TFSI S LINE#S,AudiA5#2.0TFSISLINE#STRONIC#'16,319160229,57.999€,Μεταχειρισμένο,Κουπέ-Σπόρ,10/2016,80.000χλμ,Βενζίνη,2.000cc,265bhp,Αυτόματο,Μαύρο(Μεταλλικό),Άγνωστο,3,5,3ώρεςπριν,27842,www.car.gr/319160229,"6994716403,6947274882","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'value:b', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,19ίντσες,,AWD,3,,,,,,,,,€55.000,,
Skoda,Octavia,2013,Skoda Octavia '13 1.2 105HP TSi ΔΩΡΟ ΤΕΛΗ,SkodaOctavia1.2105HPTSiΔΩΡΟΤΕΛΗ2023'13,327349770,7.900€,Μεταχειρισμένο,Αλλο,3/2013,149.898χλμ,Βενζίνη,1.197cc,105bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Ζυγό,5,5,9ώρεςπριν,3031,www.car.gr/327349770,2105121505,"['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μαύρο,Ύφασμα,7/2023,16ίντσες,,Προσθιοκίνητο(FWD),6,,,,,,,,,,,
Bmw,X5,2015,Bmw X5 '15  xDrive30d,BmwX5xDrive30d'15,318909402,42.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2015,163.401χλμ,Πετρέλαιο,2.993cc,258bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μονό,5,5,9ώρεςπριν,1888,www.car.gr/318909402,2105121505,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Μαύρο,Δέρμα,2/2023,19ίντσες,,4x4(4WD),8,,,,,,156g/km,Euro6,,,"836,75€/μήνα",288€
Peugeot,208,2019,Peugeot 208 '19 1.2 110HP TECH,Peugeot2081.2110HPTECHEDITION'19,333031399,15.200€,Μεταχειρισμένο,Αλλο,5/2019,23.600χλμ,Βενζίνη,1.199cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Άγνωστο,5,5,9ώρεςπριν,652,www.car.gr/333031399,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,Δέρμα-ύφασμα,1/2022,17ίντσες,,Προσθιοκίνητο(FWD),6,,,,,,,Euro6,,,,
