brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Παράδοσηστοσπίτι,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Seat,Cordoba,2008,Seat Cordoba '08 SUPERCARS,SeatCordobaSUPERCARSXANIA'08,331848327,6.990€,"111,05€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2008,112.274χλμ,Πετρέλαιο,1.422cc,85bhp,Χειροκίνητο,Πράσινοσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,4/2023,124g/km,Euro4,15ίντσες,240€,"5,30(Μικτό)λ/100χλμ",Άγνωστο,2,Προσθιοκίνητο(FWD),4,5,5,Ναι,14ώρεςπριν,604,www.car.gr/331848327,"2821089922,6977088528","['{Abs', '{Cd player', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Turbo', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Yaris,2020,Toyota Yaris,ToyotaYaris'20,334075755,14.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2020,89.562χλμ,Βενζίνη,1.496cc,110bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Ύφασμα,7/2024,116g/km,Euro6,15ίντσες,113€,"6,50(Εντός)/5,50(Εκτός)/6(Μικτό)λ/100χλμ",Ζυγό,1,,,5,5,,1ώραπριν,1370,www.car.gr/334075755,6981791977,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Smart,ForFour,2019,Smart ForFour '19 EQ Prime LED *ΑΝΑΛΥΣΗ,SmartForFourEQPrimeLED*ΑΝΑΛΥΣΗΦΠΑ*'19,332917769,15.900€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2019,43.000χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Μαύρο,Μαύρο,Δέρμα,4/2025,,,16ίντσες,,,Άγνωστο,1,Πισωκίνητο(RWD),,5,5,,1ώραπριν,2032,www.car.gr/332917769,6987696000,"['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Αντικλεπτικό gps', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",61kw,150χλμ,6ώρες,1ώρες,18kwh
Toyota,Yaris,2018,Toyota Yaris '18 D4D SUPERCARS,ToyotaYarisD4DSUPERCARSXANIA'18,334049116,13.800€,"219,25€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2018,119.084χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,6/2023,91g/km,Euro6,15ίντσες,85€,"5,10(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),7,5,5,Ναι,14ώρεςπριν,97,www.car.gr/334049116,"2821089922,6977088528","['Abs', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Renault,Clio,2019,Renault Clio '19 SUPERCARS,RenaultClioSUPERCARSXANIA'19,334429409,12.500€,"198,59€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2019,94.692χλμ,Πετρέλαιο,1.500cc,75bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,1/2024,116g/km,Euro6,15ίντσες,,"5,20(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,5,Ναι,14ώρεςπριν,39,www.car.gr/334429409,"2821089922,6977088528","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,
Mini,Cooper,2015,Mini Cooper '15 F56-JCW,"MiniCooperF56-JCWINTERIOR-NAVI-LED-17""-ΑΡΙΣΤΟ'15",334473348,15.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2015,137.000χλμ,Βενζίνη,1.499cc,136bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,5/2024,107g/km,Euro6,17ίντσες,102€,,Χωρίς,1,Προσθιοκίνητο(FWD),8,3,5,,34λεπτάπριν,111,www.car.gr/334473348,"2108319400,6944181010,6974673040","['{Abs', '{Adaptive cruise control (acc)', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",,,,,
Seat,Mii,2019,Seat Mii '19 ΑΥΤΟΜΑΤΟ SUPERCARS,SeatMiiΑΥΤΟΜΑΤΟSUPERCARSXANIA'19,333291150,13.500€,"214,48€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2019,50.485χλμ,Βενζίνη,999cc,68bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,5/2024,111g/km,Euro6,14ίντσες,105€,"5,70(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,5,,14ώρεςπριν,163,www.car.gr/333291150,"2821089922,6977088528","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
Nissan,Juke,2011,Nissan Juke '11 SUPERCARS,NissanJukeSUPERCARSXANIA'11,333232926,11.990€,"190,49€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2011,197.381χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,3/2023,124g/km,Euro5,17ίντσες,108€,"6,90(Εντός)/4,20(Εκτός)/5,80(Μικτό)λ/100χλμ",Άγνωστο,2,Προσθιοκίνητο(FWD),6,5,5,Ναι,14ώρεςπριν,335,www.car.gr/333232926,"2821089922,6977088528","['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Renault,Scenic,2004,Renault Scenic '04 SUPERCARS,RenaultScenicSUPERCARSXANIA'04,334377241,4.500€,"71,49€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2004,151.949χλμ,Βενζίνη,1.600cc,110bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,1/2024,,Euro4,16ίντσες,265€,"7,90(Εντός)/4,90(Εκτός)/6,90(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,,14ώρεςπριν,86,www.car.gr/334377241,"2821089922,6977088528","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
