brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κλάσηρύπων
Ford,Focus,2013,Ford Focus '13 PLATINUM ECOBOOST! 125,FordFocusPLATINUMECOBOOST!125HP!!!'13,332936443,9.990€,"140,38€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2013,77.200χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Βελούδο,1/2024,103g/km,16ίντσες,100€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,5ώρεςπριν,1528,www.car.gr/332936443,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",
Mercedes-Benz,A180,2014,Mercedes-Benz A 180 '14 AMG GREEN,"Mercedes-BenzA180AMGGREENEDITION!ΔΕΡΜΑ,NAVI!'14",332935660,23.900€,"335,84€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2014,115.000χλμ,Πετρέλαιο,1.800cc,130bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Alcantara,1/2025,99g/km,18ίντσες,90€,"4,90(Εντός)/4,60(Εκτός)/4,30(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,4305,www.car.gr/332935660,"6936037758,2100102323","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",
Honda,HR-V,2000,Honda HR-V '00  1.6i VTEC,HondaHR-V1.6iVTEC4WD!!!'00,333902736,4.500€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2000,180.000χλμ,Βενζίνη,1.600cc,105bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,1/2025,,16ίντσες,240€,"7,50(Εντός)/6(Εκτός)/6,50(Μικτό)λ/100χλμ",Μονό,1,4x4(4WD),2,3,5,5ώρεςπριν,1409,www.car.gr/333902736,"6936037758,2100102323","['Abs', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",
Audi,A1,2018,Audi A1 '18 S Line Diesel - Euro,AudiA1SLineDiesel-Euro6!!!'18,332566552,17.400€,"244,50€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,2/2018,129.000χλμ,Πετρέλαιο,1.400cc,105bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,1/2022,90g/km,18ίντσες,80€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),10,5,5,5ώρεςπριν,5662,www.car.gr/332566552,"6936037758,2100102323","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",Euro6d
Ford,Fiesta,2017,Ford Fiesta '17 ST LINE 125 HP! EURO,FordFiestaSTLINE125HP!EURO6!!!'17,333632662,12.900€,"181,27€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2017,69.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Βελούδο,5/2025,99g/km,17ίντσες,90€,"4,40(Εντός)/4,80(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,5ώρεςπριν,1253,www.car.gr/333632662,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6
Mercedes-Benz,Vito,2018,"Mercedes-Benz Vito '18 TOURER LONG, 9 ΘΕΣΙO, EURO","Mercedes-BenzVitoTOURERLONG,9ΘΕΣΙO,EURO6!'18",332040717,46.000€,"646,39€/μήνα",Μεταχειρισμένο,Van/MiniBus,9/2018,199.000χλμ,Πετρέλαιο,2.143cc,163bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Δέρμα,1/2025,158g/km,17ίντσες,290€,"5,90(Εντός)/5,60(Εκτός)/5,30(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,9,5ώρεςπριν,2577,www.car.gr/332040717,"6936037758,2100102323","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Συναγερμός', 'Συρόμενες πόρτες χ2', 'Συρόμενη πόρτα δεξιά', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Euro6d
Hyundai,i20,2017,Hyundai i 20 '17 1100cc DIESEL ΣΑΝ,Hyundaii201100ccDIESELΣΑΝΚΑΙΝΟΥΡΓΙΟ.'17,333979395,10.750€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2017,141.521χλμ,Πετρέλαιο,1.100cc,75bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Γκρι,Ύφασμα,,,16ίντσες,,"4,30(Εντός)/3,90(Εκτός)/4(Μικτό)λ/100χλμ",Άγνωστο,,Προσθιοκίνητο(FWD),6,5,5,15ώρεςπριν,322,www.car.gr/333979395,"6977072270,2651181588,6977072270","['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",
Mini,ONE,2015,Mini ONE '15 CHILI BLACK CONCEPT!!! EURO,MiniONECHILIBLACKCONCEPT!!!EURO6'15,332456988,13.500€,"189,70€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,110.000χλμ,Βενζίνη,1.200cc,102bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,1/2025,108g/km,16ίντσες,100€,"5,50(Εντός)/4,50(Εκτός)/5(Μικτό)λ/100χλμ",Άγνωστο,1,Πισωκίνητο(RWD),8,3,5,5ώρεςπριν,1007,www.car.gr/332456988,"6936037758,2100102323","['{Abs', '{Bucket καθίσματα', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Turbo', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",Euro6
Nissan,Qashqai,2015,Nissan Qashqai '15 N-CONNECTA,"NissanQashqaiN-CONNECTA-PANORAMA,NAVI!!!'15",333190999,17.700€,"248,72€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2015,137.500χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Βελούδο,3/2025,99g/km,18ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),7,5,5,5ώρεςπριν,1319,www.car.gr/333190999,"6936037758,2100102323","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",
Citroen,C3,2018,Citroen C3 '18  BlueHDi 100 Shine! Euro,CitroenC3BlueHDi100Shine!Euro6'18,331976562,14.200€,"199,54€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2018,89.000χλμ,Πετρέλαιο,1.600cc,100bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Δίχρωμο,Ύφασμα,1/2024,95g/km,16ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,2288,www.car.gr/331976562,"6936037758,2100102323","['Abs', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6d
