brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Κλάσηρύπων,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Σύνολοκατόχων,Αερόσακοι,Κίνηση,Κτέομέχρι,Ρύποι(co2),Κατανάλωση,Τέληκυκλοφορίας,Χρηματοδότηση,Παράδοσηστοσπίτι
Peugeot,208,2019,Peugeot 208 '19,Peugeot208ΕΛΛΗΝΙΚΟ/ΑΡΙΣΤΟ!!!!!!!'19,334033549,10.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2019,118.000χλμ,Πετρέλαιο,1.500cc,100bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Euro6,Ζυγό,5,5,12ώρεςπριν,48,www.car.gr/334033549,"2316016262,6944297636,6942470499","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Turbo', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,,,,,,,,
Opel,Astra,2009,Opel Astra,OpelAstra'09,334051972,5.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2009,223.000χλμ,Βενζίνη,1.600cc,180bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Άγνωστο,3,5,2ώρεςπριν,328,www.car.gr/334051972,"2410851130,6936768936","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,18ίντσες,1,6,,,,,,,
Hyundai,i10,2012,Hyundai i 10,Hyundaii10'12,333458819,6.400€,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2012,145.360χλμ,Βενζίνη,1.100cc,72bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Άγνωστο,5,5,2ώρεςπριν,612,www.car.gr/333458819,"2410851130,6936768936","['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,,,,,,,,,,
Ford,Fiesta,2015,Ford Fiesta '15 EURO,FordFiestaEURO6'15,332559592,8.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2015,108.560χλμ,Βενζίνη,999cc,75bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Άγνωστο,5,5,2ώρεςπριν,814,www.car.gr/332559592,"2410851130,6936768936","['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,,6,,,,,,,
Opel,Astra,2015,Opel Astra '15 EURO,OpelAstraEURO6'15,328248383,9.500€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2015,118.620χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Ασπρο,Euro6d,Άγνωστο,5,5,2ώρεςπριν,4914,www.car.gr/328248383,"2410851130,6936768936","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,8,,,,,,,
Suzuki,Vitara,2016,Suzuki Vitara '16 4Χ4,SuzukiVitara4Χ4ΕΛΛΗΝΙΚΟ/ΑΡΙΣΤΟ!!!!!!'16,334207630,16.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2016,133.500χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Ασπρο,Euro6,Ζυγό,5,5,12ώρεςπριν,43,www.car.gr/334207630,"2316016262,6944297636,6942470499","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,1,8,4x4(4WD),,,,,,
Mercedes-Benz,ML300,2013,Mercedes-Benz ML 300 '13 V6 GRAND EDITION Blue,Mercedes-BenzML300V6GRANDEDITIONBlueEFFICIENCY'13,332918767,28.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2013,108.000χλμ,Πετρέλαιο,3.000cc,224bhp,Αυτόματο,Μαύρο(Μεταλλικό),Euro5,Άγνωστο,5,5,3ώρεςπριν,2484,www.car.gr/332918767,6988113308,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αερανάρτηση', 'Ατρακάριστο', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Μαύρο,Δέρμα,17ίντσες,1,10,4x4(4WD),4/2025,230g/km,"8,50(Μικτό)λ/100χλμ",,,
Mercedes-Benz,A160,2001,Mercedes-Benz A 160 '01,Mercedes-BenzA160Elegance'01,334272908,3.199€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2001,194.722χλμ,Βενζίνη,1.598cc,102bhp,Χειροκίνητο,Πράσινοσκούρο(Μεταλλικό),Euro4,Ζυγό,5,5,3ώρεςπριν,657,www.car.gr/334272908,6945322197,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Συναγερμός', 'Υδραυλικό τιμόνι']",Γκρι,Ύφασμα,15ίντσες,1,6,Προσθιοκίνητο(FWD),12/2023,172g/km,"10(Εντός)/6(Εκτός)/7,50(Μικτό)λ/100χλμ",260€,,
Fiat,Panda,2017,Fiat Panda '17,FiatPandaΕΛΛΗΝΙΚΟ/ΑΡΙΣΤΟ!!!!!!!'17,331694067,7.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2017,165.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Ασπρο,,Μονό,5,5,12ώρεςπριν,23,www.car.gr/331694067,"2316016262,6944297636,6942470499","['Abs', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,1,,,,,,,,
Audi,A3,2008,Audi A3 '08 Sportback,AudiA3Sportbackambition!!!ΑΡΙΣΤΟ!!'08,333593855,8.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2008,148.000χλμ,Βενζίνη,1.400cc,125bhp,Χειροκίνητο,Καφέ(Μεταλλικό),,Άγνωστο,5,5,12ώρεςπριν,75,www.car.gr/333593855,"2316016262,6944297636,6942470499","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,17ίντσες,1,,,,,,,,
