brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Παράδοσηστοσπίτι,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι
Peugeot,208,2015,Peugeot 208 '15 1000 EURO 6 55000,Peugeot2081000EURO655000KM'15,331262715,9.500€,"94,85€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2015,55.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,99g/km,Euro6,15ίντσες,89€,Άγνωστο,1,Προσθιοκίνητο(FWD),4,4,5,Ναι,3ώρεςπριν,1135,www.car.gr/331262715,6932387340,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",
Opel,Adam,2015,Opel Adam '15 1200 EURO 6B,OpelAdam1200EURO6B'15,333176789,9.499€,"94,84€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,11/2015,130.000χλμ,Βενζίνη,1.200cc,75bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,125g/km,Euro6,16ίντσες,150€,Άγνωστο,1,Προσθιοκίνητο(FWD),6,3,5,Ναι,3ώρεςπριν,593,www.car.gr/333176789,6932387340,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault,Captur,2016,Renault Captur '16  dCi 90 Dynamique,RenaultCapturdCi90DynamiqueEDC'16,334457839,13.500€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2016,158.000χλμ,Πετρέλαιο,1.500cc,90bhp,Αυτόματο,Μπεζ,,,,Euro6,17ίντσες,,Άγνωστο,,,,5,5,,16ώρεςπριν,77,www.car.gr/334457839,"6949907542,6949907542","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",
Ford,Ka,2015,Ford Ka '15 1200 FULL EXTRA EURO 6,FordKa1200FULLEXTRAEURO6'15,333928970,7.500€,"74,88€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,11/2015,109.000χλμ,Βενζίνη,1.200cc,80bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,Euro6c,15ίντσες,,Άγνωστο,1,,4,2,5,Ναι,3ώρεςπριν,216,www.car.gr/333928970,6932387340,"['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Συναγερμός', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",
Renault,Megane,2017,Renault Megane '17  Grandtour ENERGY dCi 110,RenaultMeganeGrandtourENERGYdCi110Play'17,334131135,12.900€,,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2017,153.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,Euro6c,17ίντσες,,Άγνωστο,,,,5,5,,16ώρεςπριν,360,www.car.gr/334131135,"6949907542,6949907542","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",
Nissan,Micra,2018,Nissan Micra '18 K14,NissanMicraK14'18,333184861,13.800€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2018,68.000χλμ,Βενζίνη,1.000cc,1bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Ύφασμα,,,17ίντσες,,Ζυγό,,Προσθιοκίνητο(FWD),,5,5,,13ώρεςπριν,10,www.car.gr/333184861,6949897552,[],4/2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault,Clio,2016,Renault Clio '16  1.5 dCi limited edition,RenaultClio1.5dCilimitededition'16,334012116,11.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2016,129.000χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Μαύρο,Γκρι,,,Euro6,,,Άγνωστο,1,,,5,5,,16ώρεςπριν,215,www.car.gr/334012116,"6949907542,6949907542","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Hill assist', '{Immobilizer', '{Keyless', '{Navigation - gps', '{Parktronic', '{Turbo', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Φώτα led']",
