brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Παράδοσηστοσπίτι,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Σύνολοκατόχων,Χρηματοδότηση,Ρύποι(co2)
Chevrolet,Spark,2013,Chevrolet Spark '13 ΒΕΝΖΙΝΗ*1.2*82PS*ΠΛΗΡ. ΤΕΛΗ,ChevroletSparkΒΕΝΖΙΝΗ*1.2*82PS*ΠΛΗΡ.ΤΕΛΗ'23*ΠΑΥΛΟΥ!'13,331210553,6.250€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2013,172χλμ,Βενζίνη,1.200cc,82bhp,Χειροκίνητο,Μπεζ,Δίχρωμο,Δέρμα-ύφασμα,Euro5,14ίντσες,110€,"6,50(Εντός)/4,10(Εκτός)/5(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),10,5,5,Ναι,10ώρεςπριν,867,www.car.gr/331210553,"2221076908,6977887387","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Hill assist', '{Immobilizer', '{Parktronic', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,
Toyota,Avensis,2005,Toyota Avensis '05,ToyotaAvensisΑΥΤΟΜΑΤΟ!!'05,331598642,6.700€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2005,273.500χλμ,Βενζίνη,1.794cc,129bhp,Αυτόματο,Ασημί,,,,,,,Άγνωστο,,,5,5,,22ώρεςπριν,1321,www.car.gr/331598642,"2810372387,6947252851","['{Abs', '{Immobilizer', '{Parktronic', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι']",,,,
Volkswagen,Golf,2008,Volkswagen Golf '08,VolkswagenGolfGTI'08,331736957,11.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2008,98.350χλμ,Βενζίνη,1.984cc,200bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),,,,,,,Άγνωστο,,,5,3,,3ημέρεςπριν,1297,www.car.gr/331736957,"2810372387,6947252851","['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός αυτόματος', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",,,,
Citroen,C4,2005,Citroen C4 '05 BENZINH*1.4*ΕΛΛΗΝΙΚΟ*ΠΡΩΤΟ,CitroenC4BENZINH*1.4*ΕΛΛΗΝΙΚΟ*ΠΡΩΤΟΧΕΡΙ*ΠΑΥΛΟΥ!'05,334338762,3.250€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2005,263.000χλμ,Βενζίνη,1.400cc,98bhp,Χειροκίνητο,Μαύρο,Δίχρωμο,Ύφασμα,,16ίντσες,255€,,Μονό,Προσθιοκίνητο(FWD),6,5,5,Ναι,10ώρεςπριν,185,www.car.gr/334338762,"2221076908,6977887387","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",2/2025,1,,
Toyota,Yaris,2015,Toyota Yaris '15 1.4 D-4D,ToyotaYaris1.4D-4DΕΛΛΗΝΙΚΟ!'15,330756154,11.200€,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2015,114.900χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,Euro6,15ίντσες,82€,,Άγνωστο,,,4,4,,20ώρεςπριν,1854,www.car.gr/330756154,"2810372387,6947252851","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,
Mitsubishi,Outlander,2006,Mitsubishi Outlander '06 Πληρωμένα τέλη,MitsubishiOutlanderΠληρωμένατέλη2023'06,327664890,4.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2006,180.300χλμ,Βενζίνη,2.000cc,170bhp,Χειροκίνητο,Ασημί,,,,,,,Άγνωστο,4x4(4WD),,5,5,,3ημέρεςπριν,2793,www.car.gr/327664890,"2810372387,6947252851","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,,
Bmw,316,2007,Bmw 316,Bmw316'07,327252044,7.999€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2007,267.700χλμ,Βενζίνη,1.600cc,90bhp,Χειροκίνητο,Γκρι,,Δέρμα,,,,,Άγνωστο,,,4,4,,3ημέρεςπριν,5665,www.car.gr/327252044,"2810372387,6947252851","['Abs', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ελληνικής αντιπροσωπείας', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,
Skoda,Fabia,2004,Skoda Fabia,SkodaFabia'04,333383963,2.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2004,260.500χλμ,Βενζίνη,1.390cc,75bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),,,,,,,Άγνωστο,,,5,5,,3ημέρεςπριν,528,www.car.gr/333383963,"2810372387,6947252851","['Abs', 'Cd player', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)']",,2,,
Bmw,X5,2009,Bmw X5 '09 M-PACKET,BmwX5M-PACKETDRIVE35d'09,331322743,28.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2009,223.600χλμ,Πετρέλαιο,2.993cc,286bhp,Αυτόματο,Μπλεσκούρο,,,,20ίντσες,,,Άγνωστο,,,5,5,,3ημέρεςπριν,4058,www.car.gr/331322743,"2810372387,6947252851","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,
Toyota,Yaris,2014,Toyota Yaris '14 D-4D,ToyotaYarisD-4DΕΛΛΗΝΙΚΟ!'14,330834664,10.300€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2014,181.300χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,,,86€,,Άγνωστο,,,4,4,,22ώρεςπριν,1381,www.car.gr/330834664,"2810372387,6947252851","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι']",,,,
