brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Κατανάλωση,Πινακίδα,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Σύνολοκατόχων,Αερόσακοι,Παράδοσηστοσπίτι,Χρηματοδότηση,Τέληκυκλοφορίας,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Τιμήπολύτεκνου
Mercedes-Benz,C220,2018,Mercedes-Benz C 220 '18 4Matic,Mercedes-BenzC2204Matic9G-tronic'18,334208877,36.700€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2018,79.000χλμ,Πετρέλαιο,2.143cc,170bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,4/2024,127g/km,18ίντσες,Euro6d,"6,50(Εντός)/5,30(Εκτός)/5,90(Μικτό)λ/100χλμ",Ζυγό,AWD,5,5,13ώρεςπριν,1311,www.car.gr/334208877,6970384295,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Head-up display', 'Hill assist', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,,,,,,
Fiat,Panda,2018,Fiat Panda '18 -ΔΕΣΜΕΥΤΗΚΕ-LOUNGE/ΕΛΛΗΝΙΚΟ/ΑΠΟ ΙΔΙΩΤΗ/ΠΟΛΛΑ,FiatPanda-ΔΕΣΜΕΥΤΗΚΕ-LOUNGE/ΕΛΛΗΝΙΚΟ/ΑΠΟΙΔΙΩΤΗ/ΠΟΛΛΑΕΞΤΡΑ'18,333795308,10.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2018,73.000χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Κόκκινο,Μαύρο,Ύφασμα,,,15ίντσες,,,Ζυγό,Προσθιοκίνητο(FWD),5,5,1ώραπριν,312,www.car.gr/333795308,"2114115888,6956616271","['Abs', 'Bluetooth', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1,4,Ναι,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot,208,2023,Peugeot 208 '23 1.5 BlueHDi 100 S&S ACTIVE + ΑΝΑΛΥΣΗ,Peugeot2081.5BlueHDi100S&SACTIVE+ΑΝΑΛΥΣΗΦΠΑ'23,333230622,23.000€,,Κόμπακτ/Hatchback,4/2023Καινούριο,,Πετρέλαιο,1.499cc,100bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,,16ίντσες,,,Χωρίς,,5,5,4ώρεςπριν,824,www.car.gr/333230622,"2410230500,2410571437","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Turbo', 'Usb', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",1,6,,,,,,,,,
Renault,Clio,2017,Renault Clio '17 1.500cc VAN START/STOP,RenaultClio1.500ccVANSTART/STOPNAVI'17,332745860,8.950€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,9/2017,170.000χλμ,Πετρέλαιο,1.461cc,75bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Ύφασμα,,85g/km,,,,Άγνωστο,,5,2,1ώραπριν,1270,www.car.gr/332745860,"2104010982,6936747575,6988908986","['{Abs', '{Bluetooth', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Βιβλίο service', '{Γραμμάτια δεκτά', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμή χωρίς φπα', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,"133,72€/μήνα",0€,,,,,,
Peugeot,208,2015,Peugeot 208 '15 DIESEL ΟΘΟΝΗ TFT ΕΛΛΗΝΙΚΗΣ,Peugeot208DIESELΟΘΟΝΗTFTΕΛΛΗΝΙΚΗΣΑΝΤΙΠΡΟΣΩΠΕΙΑΣ'15,334056141,8.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2015,108.000χλμ,Πετρέλαιο,1.400cc,75bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,,,,Μονό,,5,5,1ώραπριν,347,www.car.gr/334056141,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,"133,72€/μήνα",,,,,,,
Toyota,C-HR,2019,Toyota C-HR '19 HYBRID / FULL ΕΧΤRA / ΕΡΓΟΣΤΑΣΙΑΚΗ ΕΓΓΥΗΣΗ,ToyotaC-HRHYBRID/FULLΕΧΤRA/ΕΡΓΟΣΤΑΣΙΑΚΗΕΓΓΥΗΣΗ'19,330497601,23.450€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2019,53.000χλμ,Υβριδικόβενζίνη,1.800cc,122bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,,86g/km,17ίντσες,Euro6c,,Άγνωστο,Προσθιοκίνητο(FWD),5,5,22λεπτάπριν,3359,www.car.gr/330497601,"2114115888,6956616271","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1,8,Ναι,,,,,,,,
Peugeot,108,2015,Peugeot 108 '15 5d  LED 1.000cc 70hp ΑΡΙΣΤΗ,Peugeot1085dLED1.000cc70hpΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ'15,332381896,9.350€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2015,92.000χλμ,Βενζίνη,998cc,70bhp,Χειροκίνητο,Άλλο(Μεταλλικό),,Ύφασμα,,,,,,Άγνωστο,,5,5,1ώραπριν,484,www.car.gr/332381896,"2104010982,6936747575,6988908986","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Γραμμάτια δεκτά', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,"139,70€/μήνα",,,,,,,
Jeep,Renegade,2023,Jeep Renegade '23 DIESEL,JeepRenegadeDIESEL-LIMITED'23,332515813,29.700€,,4χ4/Τζιπ/Suv,4/2023Καινούριο,,Πετρέλαιο,1.600cc,130bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Γκρι,Δέρμα-ύφασμα,,,17ίντσες,Euro6d-temp,,Χωρίς,Προσθιοκίνητο(FWD),5,5,4ώρεςπριν,1349,www.car.gr/332515813,"2421033136,2421084800","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,6,,,,,,,,,
Hyundai,i10,2017,Hyundai i 10 '17  5d 2017 1.100cc 70hp ΒΕΝΖΙΝΗ AΡΙΣΤΗ,Hyundaii105d20171.100cc70hpΒΕΝΖΙΝΗAΡΙΣΤΗΚΑΤΑΣΤΑΣΗ'17,332386034,9.450€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2017,82.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),,Ύφασμα,,,,,,Άγνωστο,,5,5,1ώραπριν,899,www.car.gr/332386034,"2104010982,6936747575,6988908986","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Γραμμάτια δεκτά', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,"141,19€/μήνα",,,,,,,
