brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Σύνολοκατόχων,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Ford,EcoSport,2016,Ford EcoSport '16 Ecoboost Titanium X,FordEcoSportEcoboostTitaniumXEuro6'16,334050075,13.950€,"272,00€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2016,90.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Γκρι,Μαύρο,Δέρμα-ύφασμα,125g/km,Euro6,17ίντσες,150€,"5,30(Μικτό)λ/100χλμ",Άγνωστο,Προσθιοκίνητο(FWD),6,5,5,1ημέραπριν,147,www.car.gr/334050075,"2109612100,2106219600","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,,,
Volkswagen,Polo,2015,Volkswagen Polo '15  1.4 TDI Lounge BLUEMOTION,VolkswagenPolo1.4TDILoungeBLUEMOTIONNAVI-ZANTES'15,332089635,11.900€,"158,04€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2015,133.290χλμ,Πετρέλαιο,1.422cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,,88g/km,Euro6,,0€,,Άγνωστο,,6,5,5,21ώρεςπριν,0,www.car.gr/332089635,"2105741441,2105768613","['{Abs', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",1/2025,1,,,,,
Opel,Corsa,2012,Opel Corsa '12 1.2cc,OpelCorsa1.2ccΕΥΚΑΙΡΙΑ!!!!!'12,334224257,6.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2012,100.000χλμ,Αέριο(lpg)-βενζίνη,1.200cc,80bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,15ίντσες,,,Ζυγό,,,5,5,1ώραπριν,721,www.car.gr/334224257,6989703004,"['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,
Mercedes-Benz,A180,2017,Mercedes-Benz A 180 '17 1.5CDI XENON AYTOMATO ΠΑΡΚΑΡΙΣΜΑ,Mercedes-BenzA1801.5CDIXENONAYTOMATOΠΑΡΚΑΡΙΣΜΑΕΛΛΗΝΙΚΟ'17,334343400,18.900€,"251,01€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2017,90.333χλμ,Πετρέλαιο,1.461cc,109bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,,98g/km,Euro6,,88€,,Μονό,,8,5,5,21ώρεςπριν,4,www.car.gr/334343400,"2105741441,2105768613","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",5/2025,1,,,,,
Bmw,X1,2017,Bmw X1 '17 1.5 SDRIVE STEPTRONIC,BmwX11.5SDRIVESTEPTRONIC136HP'17,36941918,24.990€,"331,89€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2017,47.654χλμ,Βενζίνη,1.499cc,136bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,124g/km,Euro6,17ίντσες,148€,,Ζυγό,Προσθιοκίνητο(FWD),8,5,5,21ώρεςπριν,4,www.car.gr/36941918,"2105741441,2105768613","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",7/2021,1,,,,,
Mini,Cooper,2018,Mini Cooper,MiniCooper'18,333622382,17.400€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2018,93.000χλμ,Βενζίνη,1.500cc,138bhp,Χειροκίνητο,Πράσινοσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,,Euro6,,0€,,Ζυγό,,8,3,5,1ώραπριν,562,www.car.gr/333622382,6989703004,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Keyless', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Yaris,2016,Toyota Yaris '16 1.4cc D4D!!!ΑΡΙΣΤΗ,ToyotaYaris1.4ccD4D!!!ΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ!!'16,332300411,9.990€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2016,290χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,,,,,,,,Ζυγό,,6,5,5,1ώραπριν,3419,www.car.gr/332300411,6989703004,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,
Hyundai,Matrix,2005,Hyundai Matrix '05 ΠΡΩΤΟ ΧΕΡΙ ΑΝΤΑΛΛΑΓΕΣ,HyundaiMatrixΠΡΩΤΟΧΕΡΙΑΝΤΑΛΛΑΓΕΣΔΕΚΤΕΣ!!'05,334076497,3.950€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2005,198.000χλμ,Βενζίνη,1.600cc,110bhp,Χειροκίνητο,Ασπρο,,,,,15ίντσες,,,Ζυγό,,4,5,5,1ώραπριν,264,www.car.gr/334076497,6989703004,"['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,1,,,,,
Renault,Captur,2015,Renault Captur '15 ΔΕΡΜΑ-NAVI-LED,RenaultCapturΔΕΡΜΑ-NAVI-LEDEURO6'15,332647934,15.800€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2015,141.000χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα,98g/km,Euro6,17ίντσες,90€,4(Μικτό)λ/100χλμ,Άγνωστο,Προσθιοκίνητο(FWD),8,5,5,8ώρεςπριν,454,www.car.gr/332647934,"6942408032,2341501313","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,1,,,,,
