brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Κατανάλωση,Κίνηση,Παράδοσηστοσπίτι
Mini,CooperD,2011,Mini Cooper D '11 DIESEL ΜΕ EΓΓΥΗΣΗ !!! CRS,MiniCooperDDIESELΜΕEΓΓΥΗΣΗ!!!CRSMOTORS'11,333943681,8.990€,Μεταχειρισμένο,Αλλο,11/2011,136.947χλμ,Πετρέλαιο,1.598cc,90bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,99g/km,Euro5,15ίντσες,89€,Άγνωστο,1,4,3,5,18ώρεςπριν,21,www.car.gr/333943681,"2106617088,2106617087","['Abs', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,
Ford,EcoSport,2018,Ford EcoSport '18 1.5 TDCI 4×4,FordEcoSport1.5TDCI4×4TITANIUM'18,334059833,17.600€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2018,70.000χλμ,Πετρέλαιο,1.500cc,125bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,124g/km,Euro6d,16ίντσες,140€,Ζυγό,1,8,5,5,2ώρεςπριν,302,www.car.gr/334059833,"2310925727,6996505656","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",10/2024,"4,90(Μικτό)λ/100χλμ",AWD,
Skoda,Octavia,2003,Skoda Octavia,SkodaOctavia'03,332715798,3.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,2/2003,353.515χλμ,Αέριο(lpg)-βενζίνη,1.600cc,105bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,,Euro4,15ίντσες,,Άγνωστο,2,6,5,5,3ημέρεςπριν,450,www.car.gr/332715798,"2315535666,6906873018,6906873018","['Abs', 'Bucket καθίσματα', 'Dvd', 'Esp', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τηλέφωνο']",9/2023,"5,50(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",,
Hyundai,i30,2012,Hyundai i 30,Hyundaii30'12,332715738,10.200€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2012,180.000χλμ,Πετρέλαιο,1.600cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,Euro5,17ίντσες,,Άγνωστο,,6,5,5,3ημέρεςπριν,264,www.car.gr/332715738,"2315535666,6906873018,6906873018","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",5/2024,"5(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",,Ναι
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,SpaceStar,2018,Mitsubishi Space Star '18  1.2 ClearTec,MitsubishiSpaceStar1.2ClearTecTop'18,333063912,10.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2018,20.890χλμ,Βενζίνη,1.193cc,84bhp,Χειροκίνητο,Πορτοκαλί(Μεταλλικό),Μαύρο,Ύφασμα,100g/km,Euro6,15ίντσες,,Άγνωστο,1,8,5,5,3ημέρεςπριν,405,www.car.gr/333063912,"2315535666,6906873018,6906873018","['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",7/2025,,,Ναι
Audi,A4,2017,Audi A4 '17  1.4 TFSI S line S,AudiA41.4TFSISlineStronic'17,331103827,29.499€,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2017,75.755χλμ,Βενζίνη,1.400cc,150bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μπεζ,Δέρμα,,,18ίντσες,,Άγνωστο,,10,5,5,3ημέρεςπριν,4677,www.car.gr/331103827,"2315535666,6906873018,6906873018","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",1/2024,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",,Ναι
Renault,Laguna,2001,Renault Laguna '01 Dynamic,RenaultLagunaDynamic'01,330062423,4.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2001,178.000χλμ,Αέριο(lpg)-βενζίνη,1.598cc,100bhp,Χειροκίνητο,Πράσινοσκούρο(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,,,17ίντσες,265€,Ζυγό,,10,5,5,19ώρεςπριν,106,www.car.gr/330062423,6998260936,"['{Abs', '{Bucket καθίσματα', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,
Peugeot,2008,2016,Peugeot 2008 '16 BLUE HDI EURO,Peugeot2008BLUEHDIEURO6'16,333168914,10.499€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2016,87.500χλμ,Πετρέλαιο,1.560cc,100bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,Euro6,16ίντσες,0€,Άγνωστο,1,8,5,5,2ώρεςπριν,3673,www.car.gr/333168914,"2310925727,6996505656","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",3/2025,5(Μικτό)λ/100χλμ,,
Toyota,Corolla,2005,Toyota Corolla,ToyotaCorolla'05,332715871,5.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2005,174.100χλμ,Βενζίνη,1.400cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,,,15ίντσες,,Άγνωστο,2,5,5,5,3ημέρεςπριν,2336,www.car.gr/332715871,"2315535666,6906873018,6906873018","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",8/2024,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),
