brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Αερόσακοι,Κλάσηρύπων,Κατανάλωση,Σύνολοκατόχων,Ρύποι(co2),Παράδοσηστοσπίτι
Mercedes-Benz,C200,2007,"Mercedes-Benz C 200 '07 1,8 AVAGARDE  AMG","Mercedes-BenzC2001,8AVAGARDEAMGΓΝΗΣΙΟ'07",333238656,16.400€,"221,38€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2007,165.000χλμ,Βενζίνη,1.800cc,211bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Άλλο,Δέρμα,18ίντσες,320€,Άγνωστο,Πισωκίνητο(RWD),4,5,12λεπτάπριν,2846,www.car.gr/333238656,"2102852374,6980214681","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,,,
Bmw,320,2008,Bmw 320 '08  AUTO E92 170PS  ΕΛΛΗΝΙΚΟ+BOOK ΔΩΡΟ ΤΑ ΤΕΛΗ 2023,Bmw320AUTOE92170PSΕΛΛΗΝΙΚΟ+BOOKΔΩΡΟΤΑΤΕΛΗ2023'08,331085786,12.400€,"220,66€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,8/2008,181.000χλμ,Βενζίνη,2.000cc,170bhp,Αυτόματο,Μπεζ(Μεταλλικό),Μπεζ,Δέρμα,17ίντσες,,Άγνωστο,Πισωκίνητο(RWD),2,5,12λεπτάπριν,2236,www.car.gr/331085786,"2102852374,6980214681","['{Abs', '{Cd player', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Tcs - asr', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα xenon']",2/2025,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Jazz,2014,Honda Jazz,HondaJazz'14,316713560,8.400€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2014,163.200χλμ,Βενζίνη,1.200cc,90bhp,Χειροκίνητο,Γκρι,,,,,Άγνωστο,Προσθιοκίνητο(FWD),5,5,1ημέραπριν,2878,www.car.gr/316713560,"2105737995,2105729867","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,4,,,,,
Mercedes-Benz,E250,2010,Mercedes-Benz E 250 '10 CGI 204PS  AVANTGARDE,Mercedes-BenzE250CGI204PSAVANTGARDEΕΛΛΗΝΙΚΟ+ΒΟΟΚ'10,333355373,22.400€,"252,55€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,4/2010,153.000χλμ,Βενζίνη,1.800cc,204bhp,Αυτόματο,Άλλο(Μεταλλικό),Καφέ,Δέρμα,17ίντσες,320€,Άγνωστο,Πισωκίνητο(RWD),4,5,12λεπτάπριν,1171,www.car.gr/333355373,"2102852374,6980214681","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα xenon', '{Φώτα που στρίβουν']",,,,,,,
Toyota,Yaris,2015,Toyota Yaris,ToyotaYaris'15,333888759,11.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2015,86.151χλμ,Βενζίνη,998cc,72bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,15ίντσες,89€,Ζυγό,,5,5,21ώρεςπριν,916,www.car.gr/333888759,6947696136,"['Abs', 'Bluetooth', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",9/2023,7,Euro6,"6,50(Εντός)/5,50(Εκτός)/6(Μικτό)λ/100χλμ",1,,
Toyota,Yaris,2008,Toyota Yaris '08 SOL,ToyotaYarisSOL1.3'08,331906670,7.900€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2008,140.000χλμ,Βενζίνη,1.298cc,86bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Ύφασμα,15ίντσες,130€,Ζυγό,,5,5,21ώρεςπριν,1576,www.car.gr/331906670,6947696136,"['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Parktronic', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",7/2023,5,,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",1,139g/km,
Ford,Ka,2015,Ford Ka '15 COOL & SOUND EURO,FordKaCOOL&SOUNDEURO6'15,327677708,7.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2015,93.250χλμ,Βενζίνη,1.200cc,69bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,,,,Άγνωστο,,3,4,1ημέραπριν,1692,www.car.gr/327677708,"2105737995,2105729867","['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Ατρακάριστο', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,4,Euro6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki,Swift,2012,Suzuki Swift,SuzukiSwift'12,334077328,9.150€,,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2012,86.000χλμ,Βενζίνη,1.242cc,76bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,15ίντσες,,Μονό,,3,5,21ώρεςπριν,361,www.car.gr/334077328,6947696136,"['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",6/2024,5,Euro5,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",1,,
