brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Κλάσηρύπων,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Κατανάλωση,Ρύποι(co2),Χρηματοδότηση
Peugeot,208,2012,Peugeot 208 '12,Peugeot208Allure'12,333211525,8.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2012,151.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,16ίντσες,88€,Άγνωστο,3,5,1ημέραπριν,1244,www.car.gr/333211525,6958090690,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Μη καπνιστή', 'Φώτα led']",,,,,,,,
Toyota,Yaris,2014,Toyota Yaris '14,ToyotaYaris!ΠΡΟΣΦΟΡΑ!'14,326212593,9.490€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2014,114.600χλμ,Πετρέλαιο,1.400cc,95bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,15ίντσες,,Μονό,5,5,17ώρεςπριν,1929,www.car.gr/326212593,"2310684122,6977501121,6977501121","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Hill assist', 'Immobilizer', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",8/2024,Euro5,1,Προσθιοκίνητο(FWD),7,,,
Volkswagen,Polo,2011,Volkswagen Polo '11,VolkswagenPoloTSI'11,331678795,9.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2011,167.500χλμ,Βενζίνη,1.200cc,105bhp,Αυτόματο,Μαύρο,Μαύρο,,,,Μονό,2,5,2ώρεςπριν,5929,www.car.gr/331678795,6937009429,[],,,,,,"6,80(Εντός)/4,50(Εκτός)/5,30(Μικτό)λ/100χλμ",,
Smart,ForFour,2016,"Smart ForFour '16 PRIME NAVI ,!! ΠΡΟΣΦΟΡΑ","SmartForFourPRIMENAVI,!!ΠΡΟΣΦΟΡΑ!!'16",326212380,9.999€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2016,91.500χλμ,Βενζίνη,999cc,71bhp,Χειροκίνητο,Χρυσαφί,Μαύρο,Δέρμα,15ίντσες,,Άγνωστο,5,5,1ημέραπριν,594,www.car.gr/326212380,"2310684122,6977501121,6977501121","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,1,Πισωκίνητο(RWD),7,,,
Mercedes-Benz,Vito,2005,Mercedes-Benz Vito '05 W639,Mercedes-BenzVitoW639cdi.!ΠΡΟΣΦΟΡΑ!'05,326125032,6.990€Χωρίςφπα,Μεταχειρισμένο,Αλλο,1/2005,716.500χλμ,Πετρέλαιο,2.148cc,85bhp,Χειροκίνητο,Ασημί,Γκρι,Ύφασμα,16ίντσες,105€,Ζυγό,5,3,1ημέραπριν,5636,www.car.gr/326125032,"2310684122,6977501121,6977501121","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Συρόμενη πόρτα αριστερά', 'Συρόμενη πόρτα δεξιά', 'Τιμή χωρίς φπα', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",8/2024,,1,Πισωκίνητο(RWD),2,,,
Smart,ForTwo,2012,Smart ForTwo,SmartForTwo'12,333279201,6.700€,Μεταχειρισμένο,Αλλο,4/2012,80.000χλμ,Βενζίνη,999cc,71bhp,Αυτόματο,Καφέ(Μεταλλικό),Μαύρο,Ύφασμα,15ίντσες,,Άγνωστο,3,2,16ώρεςπριν,438,www.car.gr/333279201,"2310684122,6977501121,6977501121","['Abs', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή πανοραμική']",,Euro5,1,Πισωκίνητο(RWD),2,,,
Lancia,Ypsilon,2013,Lancia Ypsilon '13,LanciaYpsilonOro'13,326710154,7.190€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2013,177.981χλμ,Πετρέλαιο,1.275cc,95bhp,Χειροκίνητο,Γκρι,Μαύρο,Alcantara,15ίντσες,,Ζυγό,5,5,17ώρεςπριν,1389,www.car.gr/326710154,"2310684122,6977501121,6977501121","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,Euro5,1,Προσθιοκίνητο(FWD),8,,,
Volkswagen,Golf,2008,Volkswagen Golf '08 GTI DSG R32ΕΛΛ/ΚΟ ΤΚ,VolkswagenGolfGTIDSGR32ΕΛΛ/ΚΟΤΚ23ΠΛΗΡΩΜ.'08,325188462,14.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2008,185.000χλμ,Βενζίνη,2.000cc,250bhp,Αυτόματο,Ασπρο,Κόκκινο,Δέρμα,18ίντσες,,Μονό,5,5,3ημέρεςπριν,1336,www.car.gr/325188462,6977078341,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",5/2023,,2,,6,9(Μικτό)λ/100χλμ,,
Fiat,Panda,2006,Fiat Panda '06  1.2 8V Climbing,FiatPanda1.28VClimbing4x4.ΠΡΟΣΦΟΡΑ.'06,326214982,6.390€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2006,175.000χλμ,Αέριο(lpg)-βενζίνη,1.250cc,75bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,14ίντσες,,Ζυγό,5,5,1ημέραπριν,1920,www.car.gr/326214982,"2310684122,6977501121,6977501121","['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",10/2024,,,4x4(4WD),4,,,
Hyundai,Tucson,2017,Hyundai Tucson '17  1.7 CRDi blue Style,HyundaiTucson1.7CRDiblueStyleDCT'17,334495502,19.000€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/2017,92.000χλμ,Πετρέλαιο,1.685cc,117bhp,Χειροκίνητο,Γκρι,,,,,Άγνωστο,5,5,3ημέρεςπριν,88,www.car.gr/334495502,6985660865,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,
