brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Επένδυσησαλονιού,Χρηματοδότηση,Ρύποι(co2),Τιμήπολύτεκνου,Παράδοσηστοσπίτι
Suzuki,GrandVitara,2010,Suzuki Grand Vitara,SuzukiGrandVitara'10,334314621,10.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2010,68.500χλμ,Βενζίνη,2.400cc,170bhp,Χειροκίνητο,Μαύρο,Γκρι,1/2024,Euro4,17ίντσες,320€,8(Εντός)/5(Εκτός)/6(Μικτό)λ/100χλμ,Μονό,1,4x4(4WD),6,5,5,1ημέραπριν,298,www.car.gr/334314621,6944604161,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Προβολείς ομίχλης']",,,,,
Jeep,Gladiator,2021,Jeep Gladiator '21 80th Anniversary - Συλλεκτικό,JeepGladiator80thAnniversary-Συλλεκτικό'21,334230636,72.000€Χωρίςφπα,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2021,14.800χλμ,Πετρέλαιο,3.000cc,350bhp,Αυτόματο,Πράσινοσκούρο,Μαύρο,,,20ίντσες,,,Μονό,,,,4,5,13ώρεςπριν,92,www.car.gr/334230636,6948008500,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δέρμα,,,,
AlfaRomeo,Mito,2014,Alfa Romeo Mito '14  0.9 8V TwinAir,AlfaRomeoMito0.98VTwinAirTurismo'14,325022705,9.300€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2014,88.000χλμ,Βενζίνη,875cc,105bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Δίχρωμο,1/2024,Euro6c,16ίντσες,89€,"4,50(Εντός)/4(Εκτός)/4,20(Μικτό)λ/100χλμ",Ζυγό,1,Προσθιοκίνητο(FWD),8,3,5,1ώραπριν,2693,www.car.gr/325022705,6980160609,"['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,"206,87€/μήνα",99g/km,,
Audi,A4,2007,Audi A4 '07 S line quattro,AudiA4Slinequattroturbo'07,333373943,8.990€,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2007,190.000χλμ,Βενζίνη,1.984cc,220bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,11/2024,,18ίντσες,,,Ζυγό,1,4x4(4WD),8,4,5,1ώραπριν,2022,www.car.gr/333373943,6980160609,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δέρμα,"199,98€/μήνα",,,
Nissan,X-Trail,2016,Nissan X-Trail '16,NissanX-Trail7θέσιο!!4x4!!Tekna!!'16,331952119,22.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2016,90.000χλμ,Πετρέλαιο,1.600cc,131bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,8/2024,Euro6d,19ίντσες,,"6(Εντός)/5,50(Εκτός)/5,50(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,7,1ώραπριν,2161,www.car.gr/331952119,6980160609,"['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δέρμα,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel,Insignia,2009,Opel Insignia '09 Ελληνικό!!!1ο,OpelInsigniaΕλληνικό!!!1οΧέρι!!!'09,331303403,8.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2009,119.000χλμ,Βενζίνη,1.796cc,140bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,1/2024,,17ίντσες,,,Ζυγό,1,Προσθιοκίνητο(FWD),8,5,5,1ώραπριν,3314,www.car.gr/331303403,6980160609,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,"197,98€/μήνα",,,
Peugeot,206,2002,Peugeot 206,Peugeot206'02,334035095,1.000€Μεζημιά,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2002,80.000χλμ,Βενζίνη,1.398cc,90bhp,Χειροκίνητο,Ασπρο,,4/2024,,,,,Ζυγό,2,,,5,5,1ημέραπριν,528,www.car.gr/334035095,"6945599833,6947561657",[],,,,,
Bmw,X5,2001,Bmw X5 '01 4.4i,BmwX54.4iΑέριο!!!Ευκαιρια!!!'01,314711181,5.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2001,230.000χλμ,Αέριο(lpg)-βενζίνη,4.400cc,290bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,10/2022,,19ίντσες,,,Ζυγό,1,4x4(4WD),8,5,5,1ώραπριν,4697,www.car.gr/314711181,6980160609,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μπλοκέ διαφορικό', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δέρμα,"122,34€/μήνα",,,
Nissan,X-Trail,2017,Nissan X-Trail '17,NissanX-Trail7θέσιο!!Άριστο!!Τρίτεκνο!!'17,330058538,19.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2017,148.000χλμ,Πετρέλαιο,1.600cc,131bhp,Χειροκίνητο,Καφέ(Μεταλλικό),,2/2024,Euro6c,18ίντσες,159€,"6(Εντός)/5,80(Εκτός)/6(Μικτό)λ/100χλμ",Ζυγό,1,,8,5,7,1ώραπριν,1495,www.car.gr/330058538,6980160609,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,"309,87€/μήνα",133g/km,,
