brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Κίνηση,Αερόσακοι,Τιμήπολύτεκνου,Χρηματοδότηση
Suzuki,Swift,2008,Suzuki Swift,SuzukiSwift'08,331770498,6.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2008,118.000χλμ,Βενζίνη,1.328cc,92bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,5/2024,15ίντσες,135€,Μονό,1,3,5,2ώρεςπριν,1329,www.car.gr/331770498,6987079421,"['Abs', 'Cd player', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι']",,,,,,,
Mercedes-Benz,E350,2018,Mercedes-Benz E 350 '18 DIESEL CABRIO 4-MATIC,Mercedes-BenzE350DIESELCABRIO4-MATICAIRMATIC'18,329967068,69.900€,Μεταχειρισμένο,Κάμπριο/Roadster,8/2018,85.000χλμ,Πετρέλαιο,3.000cc,258bhp,Αυτόματο,Μαύρο,Δίχρωμο,Δέρμα,8/2024,18ίντσες,400€,Ζυγό,1,2,5,30λεπτάπριν,6643,www.car.gr/329967068,6907915669,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",170g/km,Euro6,10(Εντός)/8(Εκτός)/9(Μικτό)λ/100χλμ,4x4(4WD),8,,
Volkswagen,Up,2015,Volkswagen Up '15 1.0 Club up!Full,VolkswagenUp1.0Clubup!Fullextra'15,334057558,9.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2015,117.000χλμ,Βενζίνη,100cc,75bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,3/2025,15ίντσες,,Άγνωστο,2,3,5,10ώρεςπριν,619,www.car.gr/334057558,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,Προσθιοκίνητο(FWD),6,,
Citroen,C4,2016,Citroen C4 '16 AFTOMATO EURO,CitroenC4AFTOMATOEURO6'16,334212325,11.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,115.000χλμ,Πετρέλαιο,1.600cc,120bhp,Αυτόματο,Μαύρο(Μεταλλικό),,,,,,Άγνωστο,,5,5,1ημέραπριν,155,www.car.gr/334212325,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,€10.700,
Fiat,Panda,2019,Fiat Panda '19 1.2 easy,FiatPanda1.2easy69hp'19,334498209,12.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2019,72.825χλμ,Βενζίνη,1.200cc,69bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,,,,,Μονό,,5,5,1ημέραπριν,20,www.car.gr/334498209,2311230030,[],,,,,,,"231,49€/μήνα"
Smart,ForTwo,2015,Smart ForTwo '15,"SmartForTwoΑΡΙΣΤΟ,Gps,ΖΑΝΤΕΣ,ΔΕΡΜΑ,Full'15",334057717,9.400€,Μεταχειρισμένο,Κουπέ-Σπόρ,5/2015,140.000χλμ,Βενζίνη,1.000cc,78bhp,Χειροκίνητο,Πορτοκαλί(Μεταλλικό),Δίχρωμο,Δέρμα,5/2025,17ίντσες,,Άγνωστο,2,2,2,10ώρεςπριν,383,www.car.gr/334057717,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,Πισωκίνητο(RWD),6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault,Clio,2014,Renault Clio '14 1.2 TCe,"RenaultClio1.2TCeGT,Automatic,Navi'14",332941964,13.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2014,153.000χλμ,Βενζίνη,1.200cc,120bhp,Αυτόματο,Πορτοκαλί(Μεταλλικό),Γκρι,Ύφασμα,4/2024,17ίντσες,,Άγνωστο,2,5,5,10ώρεςπριν,1242,www.car.gr/332941964,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,Προσθιοκίνητο(FWD),8,,
Fiat,Doblo,2016,Fiat Doblo '16 DISEL VAN,FiatDobloDISELVANFORTIGAKI'16,334206522,9.700€,Μεταχειρισμένο,Van/MiniBus,7/2016,150.000χλμ,Πετρέλαιο,1.300cc,110bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,5,2,1ημέραπριν,99,www.car.gr/334206522,"2310675675,2310675000,6972916086","['Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Peugeot,3008,2023,Peugeot 3008 '23,"Peugeot3008ΟΛΟΚΑΊΝΟΥΡΓΙΟ,'23",333929487,33.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2023,2.000χλμ,Πετρέλαιο,1.500cc,130bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2027,17ίντσες,,Άγνωστο,1,5,5,10ώρεςπριν,1234,www.car.gr/333929487,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,Euro6,,,8,,
