brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση,Τιμήπολύτεκνου,Χρηματοδότηση,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Παράδοσηστοσπίτι
Toyota,Yaris,2019,Toyota Yaris '19 EURO 6 FULL,ToyotaYarisEURO6FULLEXTRA'19,334059828,15.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2019,70.000χλμ,Υβριδικόβενζίνη,1.500cc,100bhp,Αυτόματο,Ασπρο,Άγνωστο,5,4,1ημέραπριν,233,www.car.gr/334059828,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,,,,,,,,
Ford,Fiesta,2017,"Ford Fiesta '17  1.25 Ambiente,ΣΑΝ","FordFiesta1.25Ambiente,ΣΑΝΚΑΙΝΟΥΡΓΙΟ'17",333462482,8.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2017,99.200χλμ,Βενζίνη,1.250cc,70bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Άγνωστο,3,5,10ώρεςπριν,1473,www.car.gr/333462482,"6936277350,2104316863,6936277350","['Abs', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Δίχρωμο,Ύφασμα,5/2025,Euro6,15ίντσες,1,Προσθιοκίνητο(FWD),6,,,,,,,,,,
Citroen,C4GrandPicasso,2016,Citroen C4 Grand Picasso,CitroenC4GrandPicasso'16,333444433,17.100€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2016,71.000χλμ,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Ασπρο,Ζυγό,5,7,2ώρεςπριν,1175,www.car.gr/333444433,6932443617,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,Ύφασμα,5/2024,Euro6,16ίντσες,1,Προσθιοκίνητο(FWD),6,115g/km,112€,"8(Εντός)/6,50(Εκτός)/7,40(Μικτό)λ/100χλμ",,,,,,,
Toyota,Yaris,2020,Toyota Yaris,ToyotaYaris'20,334075755,14.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2020,89.562χλμ,Βενζίνη,1.496cc,110bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Ζυγό,5,5,2ώρεςπριν,1147,www.car.gr/334075755,6981791977,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,Ύφασμα,7/2024,Euro6,15ίντσες,1,,,116g/km,113€,"6,50(Εντός)/5,50(Εκτός)/6(Μικτό)λ/100χλμ",,,,,,,
Jaguar,XE,2018,Jaguar XE '18 BUSINESS BVA8 EURO6,JaguarXEBUSINESSBVA8EURO6'18,330005541,29.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2018,97.000χλμ,Πετρέλαιο,2.000cc,180bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Άγνωστο,5,5,1ημέραπριν,3380,www.car.gr/330005541,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Ύφασμα,,,,,,,,,,€25.000,,,,,,
Fiat,500X,2018,Fiat 500X '18 Fiat 500X 1.4  140 HP AUTO ΕΛΛΗΝΙΚΟ,Fiat500XFiat500X1.4140HPAUTOΕΛΛΗΝΙΚΟ'18'18,334049478,19.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2018,48.000χλμ,Βενζίνη,1.400cc,140bhp,Αυτόματο,Μπλέ(Μεταλλικό),Μονό,5,5,14ώρεςπριν,181,www.car.gr/334049478,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Ύφασμα,,,,,,6,,,,,,,,,,
Opel,Astra,2013,Opel Astra '13 ΑΡΙΣΤΟ..ΕΓΓΎΗΣΗ,OpelAstraΑΡΙΣΤΟ..ΕΓΓΎΗΣΗΧΙΛΙΟΜΈΤΡΩΝ.'13,333372392,10.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2013,166.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Άγνωστο,5,5,10ώρεςπριν,854,www.car.gr/333372392,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Δίχρωμο,Ύφασμα,3/2025,,17ίντσες,1,,8,,,,,,,,,,
Nissan,Qashqai,2009,Nissan Qashqai '09  1.6 ACENTA,NissanQashqai1.6ACENTAΕΛΛΗΝΙΚΟ'09,332910299,10.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2009,136.800χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μονό,5,5,14ώρεςπριν,711,www.car.gr/332910299,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,Ύφασμα,5/2023,,17ίντσες,1,,6,,,,,,,,,,
Daihatsu,Sirion,2007,Daihatsu Sirion,DaihatsuSirion'07,331838951,5.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2007,116.000χλμ,Βενζίνη,1.300cc,85bhp,Χειροκίνητο,Κόκκινο,Ζυγό,5,5,14ώρεςπριν,2133,www.car.gr/331838951,2105690550,"['Abs', 'Cd player', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",Γκρι,Ύφασμα,,,,,Προσθιοκίνητο(FWD),2,,,,,,,,,,
Citroen,C3,2020,Citroen C3 '20 euro 6,CitroenC3euro6disel'20,334059774,13.700€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2020,75.000χλμ,Πετρέλαιο,1.500cc,102bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Άγνωστο,5,4,1ημέραπριν,159,www.car.gr/334059774,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,,,,,,,,,,,,,,,,,
