brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατηγορία,Χρονολογία,Καύσιμο,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Πινακίδα,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατάσταση,Χιλιόμετρα,Κυβικά,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Σύνολοκατόχων,Κτέομέχρι,Χρώμαεσωτερικού,Ρύποι(co2),Κλάσηρύπων,Κίνηση,Παράδοσηστοσπίτι
Dacia,Spring,2023,Dacia Spring '23 EXTREME ΠΡΟΣΦΟΡΑ ΜΕΧΡΙ,DaciaSpringEXTREMEΠΡΟΣΦΟΡΑΜΕΧΡΙ30/6'23,334344645,21.188€,"318,75€/μήνα",Αλλο,8/2023Καινούριο,Ηλεκτρικό,48kw,310χλμ,1ώρες,27kwh,65bhp,Αυτόματο,Άλλο,Δέρμα,Άγνωστο,6,5,4,1ώραπριν,604,www.car.gr/334344645,"2109578933,2109532005,6941668010","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,
Mercedes-Benz,CLA180,2015,Mercedes-Benz CLA 180,Mercedes-BenzCLA180'15,325953740,25.400€,,Λιμουζίνα/Sedan,11/2015,Πετρέλαιο,,,,,122bhp,Αυτόματο,Μαύρο,,Άγνωστο,,5,5,18ώρεςπριν,3668,www.car.gr/325953740,6943495760,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,188.000χλμ,1.600cc,18ίντσες,100€,6(Εντός)/4(Εκτός)/5(Μικτό)λ/100χλμ,1,,,,,,
Hyundai,i30,2018,Hyundai i 30 '18 1.4 active,Hyundaii301.4active100hp'18,334498385,15.500€,"299,01€/μήνα",Κόμπακτ/Hatchback,3/2018,Βενζίνη,,,,,100bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Μονό,,5,5,1ημέραπριν,18,www.car.gr/334498385,2311230030,[],Μεταχειρισμένο,94.809χλμ,1.400cc,,,,,,,,,,
Peugeot,307,2006,Peugeot 307,Peugeot307'06,334007181,3.300€,,Κόμπακτ/Hatchback,1/2006,Βενζίνη,,,,,95bhp,Χειροκίνητο,Μαύρο,,Μονό,,5,5,1ημέραπριν,1171,www.car.gr/334007181,6948886161,"['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με μοτο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μεταχειρισμένο,102.000χλμ,1.400cc,,,,1,1/2025,,,,,
Ford,Focus,2017,Ford Focus '17 Business + / ΤΕΛΗ ΚΥΚΛ. 0,FordFocusBusiness+/ΤΕΛΗΚΥΚΛ.0€!!!'17,334422955,12.999€,,Κόμπακτ/Hatchback,10/2017,Πετρέλαιο,,,,,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,Ζυγό,8,5,5,5ώρεςπριν,202,www.car.gr/334422955,2310989447,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,150χλμ,1.500cc,17ίντσες,0€,"5,40(Μικτό)λ/100χλμ",1,9/2023,Γκρι,88g/km,Euro6d,Προσθιοκίνητο(FWD),
Volkswagen,Golf,2018,Volkswagen Golf '18 EDITION 30,VolkswagenGolfEDITION30DSG'18,329740803,22.000€,,Κόμπακτ/Hatchback,1/2018,Βενζίνη,,,,,110bhp,Αυτόματο,Ασπρο,Ύφασμα,Μονό,7,5,5,10ώρεςπριν,2759,www.car.gr/329740803,6977007005,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,68.000χλμ,999cc,17ίντσες,110€,,2,,Μαύρο,109g/km,Euro5,,
Bmw,518,1991,Bmw 518,Bmw518'91,334074794,4.300€,,Λιμουζίνα/Sedan,6/1991,Βενζίνη,,,,,165bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Μονό,,4,5,5ώρεςπριν,689,www.car.gr/334074794,6955511959,"['Abs', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Φώτα led']",Μεταχειρισμένο,168.500χλμ,2.000cc,18ίντσες,,,,,,,,,
Mini,CooperD,2018,Mini Cooper D '18 ΑΒΑΦΟ άθικτο,MiniCooperDΑΒΑΦΟάθικτοΕΛΛΗΝΙΚΟ'18,328943203,17.580€,,Κόμπακτ/Hatchback,1/2018,Πετρέλαιο,,,,,116bhp,Αυτόματο,Πράσινοσκούρο(Μεταλλικό),Ύφασμα,Άγνωστο,,5,5,12ώρεςπριν,543,www.car.gr/328943203,"2104010421,6937510810","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,85.000χλμ,1.500cc,,,,,,Μαύρο,,Euro6,Προσθιοκίνητο(FWD),
Lexus,RX400,2008,Lexus RX 400 '08 Hybrid,LexusRX400HybridBoulevard'08,332990427,12.500€,,4χ4/Τζιπ/Suv,2/2008,Υβριδικόβενζίνη,,,,,272bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Δέρμα,Ζυγό,8,5,5,10ώρεςπριν,398,www.car.gr/332990427,6977007005,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",Μεταχειρισμένο,265.000χλμ,3.300cc,18ίντσες,,10(Εντός)/8(Μικτό)λ/100χλμ,2,,Μπεζ,,,4x4(4WD),
Jeep,Compass,2018,Jeep Compass '18 MJTD Longitude 120hp 2WD  1.6,JeepCompassMJTDLongitude120hp2WD1.6ΕΛΛΗΝΙΚΟ'18,333592077,21.580€,,4χ4/Τζιπ/Suv,7/2018,Πετρέλαιο,,,,,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Άγνωστο,,5,5,12ώρεςπριν,71,www.car.gr/333592077,"2104010421,6937510810","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,40.000χλμ,1.600cc,,,,,,Μαύρο,,Euro6,Προσθιοκίνητο(FWD),
Bmw,520,2014,Bmw 520 '14 euro 6  ανυχιαστο,Bmw520euro6ανυχιαστοαριστο'14,334492115,23.980€,,Λιμουζίνα/Sedan,8/2014,Πετρέλαιο,,,,,190bhp,Αυτόματο,Γκρι,Δέρμα,Άγνωστο,10,5,5,12ώρεςπριν,95,www.car.gr/334492115,"2104010421,6937510810",[],Μεταχειρισμένο,135.000χλμ,2.000cc,17ίντσες,,,,,,,Euro6,Πισωκίνητο(RWD),
