brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Τιμήπολύτεκνου,Χρηματοδότηση,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Ρύποι(co2),Κλάσηρύπων,Τέληκυκλοφορίας,Κατανάλωση,Παράδοσηστοσπίτι
Hyundai,i10,2014,Hyundai i 10 '14  1.2 Style Full,"Hyundaii101.2StyleFullExtra,'14",334321258,9.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2014,120.000χλμ,Βενζίνη,1.250cc,87bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,8/2024,15ίντσες,Άγνωστο,2,Προσθιοκίνητο(FWD),8,5,5,11ώρεςπριν,244,www.car.gr/334321258,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,,,,,,
Jaguar,XE,2018,Jaguar XE '18 BUSINESS BVA8 EURO6,JaguarXEBUSINESSBVA8EURO6'18,330005541,29.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2018,97.000χλμ,Πετρέλαιο,2.000cc,180bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),,Ύφασμα,,,Άγνωστο,,,,5,5,1ημέραπριν,3381,www.car.gr/330005541,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",€25.000,,,,,,,,,,
Porsche,Cayenne,2007,Porsche Cayenne '07 4.8 TURBO SUNROOF,PorscheCayenne4.8TURBOSUNROOFΕΛΛΗΝΙΚΟ'07,321765228,32.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2007,180.000χλμ,Βενζίνη,4.800cc,500bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,,20ίντσες,Μονό,,,10,4,5,14ώρεςπριν,6295,www.car.gr/321765228,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αερανάρτηση', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,,,,,,,
Ford,Fusion,2003,Ford Fusion '03 1.4 5D A/C Y/T,FordFusion1.45DA/CY/TABS'03,325015918,3.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2003,197.000χλμ,Βενζίνη,1.400cc,80bhp,Χειροκίνητο,Κόκκινο,Γκρι,,,,Μονό,1,,2,4,5,14ώρεςπριν,3412,www.car.gr/325015918,2105690550,"['Abs', 'Cd player', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,,,,,,,,,
Opel,Astra,2013,Opel Astra '13 ΑΡΙΣΤΟ..ΕΓΓΎΗΣΗ,OpelAstraΑΡΙΣΤΟ..ΕΓΓΎΗΣΗΧΙΛΙΟΜΈΤΡΩΝ.'13,333372392,10.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2013,166.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,3/2025,17ίντσες,Άγνωστο,1,,8,5,5,11ώρεςπριν,855,www.car.gr/333372392,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,,,,,,
Fiat,500X,2018,Fiat 500X '18 Fiat 500X 1.4  140 HP AUTO ΕΛΛΗΝΙΚΟ,Fiat500XFiat500X1.4140HPAUTOΕΛΛΗΝΙΚΟ'18'18,334049478,19.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2018,48.000χλμ,Βενζίνη,1.400cc,140bhp,Αυτόματο,Μπλέ(Μεταλλικό),,Ύφασμα,,,Μονό,,,6,5,5,14ώρεςπριν,182,www.car.gr/334049478,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,
Nissan,Qashqai,2009,Nissan Qashqai '09  1.6 ACENTA,NissanQashqai1.6ACENTAΕΛΛΗΝΙΚΟ'09,332910299,10.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2009,136.800χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δίχρωμο,Ύφασμα,5/2023,17ίντσες,Μονό,1,,6,5,5,14ώρεςπριν,712,www.car.gr/332910299,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,
Daihatsu,Sirion,2007,Daihatsu Sirion,DaihatsuSirion'07,331838951,5.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2007,116.000χλμ,Βενζίνη,1.300cc,85bhp,Χειροκίνητο,Κόκκινο,Γκρι,Ύφασμα,,,Ζυγό,,Προσθιοκίνητο(FWD),2,5,5,14ώρεςπριν,2134,www.car.gr/331838951,2105690550,"['Abs', 'Cd player', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,,,,,,,,,
Bmw,220ActiveTourer,2022,Bmw 220 Active Tourer '22 M,Bmw220ActiveTourerMSPORT'22,332999420,36.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2022,20.200χλμ,Υβριδικόβενζίνη,1.499cc,175bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Alcantara,,18ίντσες,Ζυγό,2,Προσθιοκίνητο(FWD),,5,5,2ώρεςπριν,5636,www.car.gr/332999420,6974306540,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Φώτα led']",,,,,,,,,,,
Peugeot,3008,2021,Peugeot 3008 '21 HYBRID 225 hp EAT8 ALLURE (PHEV)/PEUGEOT,Peugeot3008HYBRID225hpEAT8ALLURE(PHEV)/PEUGEOTBESIKOSⓇ'21,334476239,39.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2021,33.000χλμ,Υβριδικόplug-inβενζίνη,1.598cc,225bhp,Αυτόματο,Μπλέ(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,,18ίντσες,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,2ώρεςπριν,252,www.car.gr/334476239,"2108313963,6978558499","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,"618,35€/μήνα",56χλμ,8ώρες,2ώρες,13kwh,32g/km,Euro6d,0€,"1,40(Μικτό)λ/100χλμ",Ναι
