brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Κίνηση,Χρηματοδότηση,Παράδοσηστοσπίτι,Leasing,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Skoda,Octavia,2002,Skoda Octavia '02  Combi 1.4 16V,SkodaOctaviaCombi1.416VAmbiente'02,334227923,4.875€,Μεταχειρισμένο,Λιμουζίνα/Sedan,2/2002,228.728χλμ,Αέριο(lpg)-βενζίνη,1.400cc,75bhp,Χειροκίνητο,Μπλέ,Κόκκινο,Δέρμα,10/2024,15ίντσες,240€,Μονό,1,2,5,5,4ώρεςπριν,413,www.car.gr/334227923,6996914703,"['Cd player', 'Dvd', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Μη καπνιστή', 'Συναγερμός', 'Υδραυλικό τιμόνι']",,,,,,,,,,,,
Skoda,Fabia,2018,Skoda Fabia '18  1.0 TSI,SkodaFabia1.0TSI'18,331130044,10.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2018,104.700χλμ,Βενζίνη,1.000cc,95bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Ύφασμα,3/2024,15ίντσες,98€,Ζυγό,,6,5,5,1ημέραπριν,1124,www.car.gr/331130044,6981848761,"['Abs', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",106g/km,Euro6,"5(Εντός)/3,90(Εκτός)/4,10(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),,,,,,,,
Mercedes-Benz,A180,2016,Mercedes-Benz A 180 '16  d Urban,Mercedes-BenzA180dUrban7G-DCT'16,332927628,21.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,81.000χλμ,Πετρέλαιο,1.461cc,109bhp,Αυτόματο,Γκρι,,,,,,Μονό,,,5,5,3ημέρεςπριν,2833,www.car.gr/332927628,"6936773401,6981004860","['Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Κάμερα οπισθοπορείας', 'Μη καπνιστή', 'Οθόνη tft', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,
Fiat,500,2017,"Fiat 500 '17 LOUNGE,PANORAMA,ΟΘΟΝΗ TFT(7""),EURO","Fiat500LOUNGE,PANORAMA,ΟΘΟΝΗTFT(7""),EURO6'17",333918514,13.890€,Μεταχειρισμένο,Αλλο,12/2017,39.000χλμ,Βενζίνη,1.242cc,69bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,,15ίντσες,,Άγνωστο,,7,3,5,3λεπτάπριν,240,www.car.gr/333918514,2109414417,"['{Abs', '{Bluetooth', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,Euro6,,,"207,53€/μήνα",,,,,,,
Mercedes-Benz,A160,2001,Mercedes-Benz A 160 '01,Mercedes-BenzA160Elegance'01,334272908,3.199€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2001,194.722χλμ,Βενζίνη,1.598cc,102bhp,Χειροκίνητο,Πράσινοσκούρο(Μεταλλικό),Γκρι,Ύφασμα,12/2023,15ίντσες,260€,Ζυγό,1,6,5,5,5ώρεςπριν,834,www.car.gr/334272908,6945322197,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Συναγερμός', 'Υδραυλικό τιμόνι']",172g/km,Euro4,"10(Εντός)/6(Εκτός)/7,50(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),,,,,,,,
Audi,A5,2009,Audi A5 '09 quattro S tronic,AudiA5quattroStronicABT!!!!22000kh'09,330754216,29.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,12/2009,22.000χλμ,Βενζίνη,2.000cc,269bhp,Αυτόματο,Μαύρο(Μεταλλικό),Καφέ,Δέρμα,6/2024,18ίντσες,320€,Άγνωστο,1,8,3,4,10ώρεςπριν,4279,www.car.gr/330754216,6932430194,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro5,,4x4(4WD),,,,,,,,
Bmw,X1,2017,Bmw X1 '17  sDrive18,BmwX1sDrive18xLine'17,330062533,26.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2017,92.000χλμ,Βενζίνη,1.500cc,140bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,8/2023,17ίντσες,151€,Άγνωστο,1,8,5,5,10ώρεςπριν,4257,www.car.gr/330062533,6932430194,"['Abs', 'Adaptive cruise control (acc)', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",127g/km,Euro6,"7,20(Εντός)/5,90(Εκτός)/6,20(Μικτό)λ/100χλμ",,,,,,,,,
Mini,Cooper,2015,Mini Cooper '15 ONE NAVI θερμαινόμενα,MiniCooperONENAVIθερμαινόμενακαθίσματα'15,326495014,13.599€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2015,134.000χλμ,Βενζίνη,1.198cc,105bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,12/2023,16ίντσες,111€,Άγνωστο,1,8,5,5,10ώρεςπριν,3420,www.car.gr/326495014,6932430194,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",113g/km,Euro6,"5,60(Εντός)/4,60(Εκτός)/5,10(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),"237,32€/μήνα",,,,,,,
Ford,Ranger,2019,Ford Ranger '19 WILDTRAK BLACK,FordRangerWILDTRAKBLACKEDITION!!'19,334339844,32.900€,Μεταχειρισμένο,Αγροτικό/Pickup,2/2019,130.000χλμ,Πετρέλαιο,3.200cc,200bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,6/2025,18ίντσες,105€,Άγνωστο,1,10,4,5,2ώρεςπριν,2865,www.car.gr/334339844,6988113308,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,Euro6c,"8,50(Εντός)/8,50(Μικτό)λ/100χλμ",,,,,,,,,
Fiat,500,2016,"Fiat 500 '16 LOUNGE,PANORAMA,ΟΘΟΝΗ TFT,EURO","Fiat500LOUNGE,PANORAMA,ΟΘΟΝΗTFT,EURO6'16",331708101,12.900€,Μεταχειρισμένο,Αλλο,10/2016,59.000χλμ,Βενζίνη,1.242cc,69bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,15ίντσες,,Άγνωστο,,7,3,5,3λεπτάπριν,567,www.car.gr/331708101,2109414417,"['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,Euro6,,,"192,74€/μήνα",,,,,,,
