brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Τέληκυκλοφορίας,Κατανάλωση,Ρύποι(co2),Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Σύνολοκατόχων,Παράδοσηστοσπίτι
Renault,Clio,2020,Renault Clio,RenaultClio'20,331046380,16.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2020,20.500χλμ,Βενζίνη,999cc,100bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,7/2024,Euro6d-temp,16ίντσες,Άγνωστο,Προσθιοκίνητο(FWD),8,5,5,6ώρεςπριν,542,www.car.gr/331046380,6984525789,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,
Toyota,Yaris,2018,Toyota Yaris '18 45.000km/Οθόνη/Άριστο,ToyotaYaris45.000km/Οθόνη/Άριστο'18,333726140,12.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2018,45.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Ασπρο,,,,Euro6,,Άγνωστο,,,5,5,1ώραπριν,470,www.car.gr/333726140,6934988556,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai,i20,2018,Hyundai i 20 '18 ACTIVE 75hp ΕΛΛΗΝΙΚΗΣ ΑΝΤΙΠΡΟΣΩΠΕΙΑΣ (ΑΝΑΛΥΣΗ,Hyundaii20ACTIVE75hpΕΛΛΗΝΙΚΗΣΑΝΤΙΠΡΟΣΩΠΕΙΑΣ(ΑΝΑΛΥΣΗΦΠΑ)'18,334496528,10.350€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2018,170.000χλμ,Πετρέλαιο,1.120cc,75bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,,5,5,1ώραπριν,28,www.car.gr/334496528,"2104010982,6936747575,6988908986","['{Abs', '{Bluetooth', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Γραμμάτια δεκτά', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']","154,64€/μήνα",,,,,,,,,
Hyundai,i10,2017,Hyundai i 10 '17  5d 2017 1.100cc 70hp ΒΕΝΖΙΝΗ AΡΙΣΤΗ,Hyundaii105d20171.100cc70hpΒΕΝΖΙΝΗAΡΙΣΤΗΚΑΤΑΣΤΑΣΗ'17,332386034,9.450€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2017,82.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),,Ύφασμα,,,,Άγνωστο,,,5,5,1ώραπριν,903,www.car.gr/332386034,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","141,19€/μήνα",,,,,,,,,
Citroen,C3,2018,Citroen C3 '18 Navi ΕΛΛΗΝΙΚΗΣ ΑΝΤΙΠΡΟΣΩΠΕΙΑΣ (ΑΝΑΛΥΣΗ,CitroenC3NaviΕΛΛΗΝΙΚΗΣΑΝΤΙΠΡΟΣΩΠΕΙΑΣ(ΑΝΑΛΥΣΗΦΠΑ)'18,334496251,11.650€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2018,108.000χλμ,Πετρέλαιο,1.499cc,100bhp,Χειροκίνητο,Ασπρο,,,,,,Μονό,,,5,5,1ώραπριν,86,www.car.gr/334496251,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","174,06€/μήνα",,,,,,,,,
Fiat,500,2014,Fiat 500 '14 PANORAMA ΖΑΝΤΕΣ ΑΛΟΥΜΙΝΙΟΥ ΑΡΙΣΤΗ,Fiat500PANORAMAΖΑΝΤΕΣΑΛΟΥΜΙΝΙΟΥΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ!!!'14,331697213,9.499€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2014,119.357χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,,Euro6,15ίντσες,Άγνωστο,,,3,5,1ώραπριν,568,www.car.gr/331697213,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,
Skoda,Octavia,2018,Skoda Octavia '18 FULL EXTRA CLIMA ΟΘΟΝΗ ΑΡΙΣΤΗ,SkodaOctaviaFULLEXTRACLIMAΟΘΟΝΗΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ'18,334495438,14.850€,Μεταχειρισμένο,Λιμουζίνα/Sedan,8/2018,240.000χλμ,Πετρέλαιο,1.600cc,116bhp,Χειροκίνητο,Ασπρο,,,,,16ίντσες,Άγνωστο,,,5,5,1ώραπριν,115,www.car.gr/334495438,"2104010982,6936747575,6988908986","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","221,87€/μήνα",,,,,,,,,
Citroen,C4SpaceTourer,2020,Citroen C4 SpaceTourer '20 FULL EXTRA NAVI CLIMA ΟΘΟΝΗ ΑΡΙΣΤΗ,CitroenC4SpaceTourerFULLEXTRANAVICLIMAΟΘΟΝΗΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ!!!'20,324050296,15.999€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2020,123.000χλμ,Πετρέλαιο,1.499cc,130bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Ύφασμα,,Euro6,17ίντσες,Άγνωστο,,,5,5,1ώραπριν,3031,www.car.gr/324050296,"2104010982,6936747575,6988908986","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Γραμμάτια δεκτά', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']","239,04€/μήνα",,,,,,,,,
Ford,Focus,2015,Ford Focus,FordFocus'15,330987509,12.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2015,110.000χλμ,Πετρέλαιο,1.499cc,135bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,,16ίντσες,Μονό,Προσθιοκίνητο(FWD),6,5,5,6ώρεςπριν,187,www.car.gr/330987509,6975755555,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,88€,"5,50(Εντός)/4,50(Εκτός)/λ/100χλμ",,,,,,,
