brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αερόσακοι,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Χρηματοδότηση
Bmw,530,2009,Bmw 530 '09 LCI M5 Θωρακισμένο,Bmw530LCIM5ΘωρακισμένοB4+'09,330009598,27.990€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2009,179.000χλμ,Βενζίνη,3.000cc,272bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,19ίντσες,920€,10(Μικτό)λ/100χλμ,Άγνωστο,1,Πισωκίνητο(RWD),4,5,6ώρεςπριν,5606,www.car.gr/330009598,6987696000,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Θωρακισμένο', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,
Volkswagen,Passat,2009,Volkswagen Passat,VolkswagenPassat'09,320661522,8.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2009,178.759χλμ,Βενζίνη,1.400cc,127bhp,Χειροκίνητο,Μαύρο,,,18ίντσες,255€,,Ζυγό,,Προσθιοκίνητο(FWD),5,5,1ημέραπριν,10242,www.car.gr/320661522,6948494378,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υπολογιστής ταξιδιού']",8,,,,
Volkswagen,PassatCC,2009,Volkswagen Passat CC '09 1.8 TSI με FULL EXTRA & ΣΑΝ ΚΑΙΝΟΥΡΓΙΟ,VolkswagenPassatCC1.8TSIμεFULLEXTRA&ΣΑΝΚΑΙΝΟΥΡΓΙΟ!!!'09,327786831,15.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2009,122.000χλμ,Βενζίνη,1.798cc,160bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Άλλο,Δέρμα,17ίντσες,320€,"10,40(Εντός)/6(Εκτός)/7,60(Μικτό)λ/100χλμ",Ζυγό,1,Προσθιοκίνητο(FWD),4,4,1ώραπριν,6685,www.car.gr/327786831,6947151164,"['Abs', 'Adaptive cruise control (acc)', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,11/2023,180g/km,Euro4,
Peugeot,308,2019,Peugeot 308 '19  1.5 BlueHDi 130,Peugeot3081.5BlueHDi130Active'19,333976900,13.450€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2019,106.500χλμ,Πετρέλαιο,1.499cc,130bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,16ίντσες,,,Ζυγό,1,Προσθιοκίνητο(FWD),5,5,3ημέρεςπριν,88,www.car.gr/333976900,"2102388281,2102381638","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Φώτα led']",6,,,,
Jeep,GrandCherokee,2004,Jeep Grand Cherokee '04 Επαγγελματικό,JeepGrandCherokeeΕπαγγελματικό'04,334502143,14.000€Χωρίςφπα,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2004,151.512χλμ,Βενζίνη,4.700cc,260bhp,Αυτόματο,Ασημί(Μεταλλικό),,Δέρμα,17ίντσες,,,Μονό,2,4x4(4WD),5,5,2ημέρεςπριν,35,www.car.gr/334502143,6937142634,"['Abs', 'Bucket καθίσματα', 'Cruise control', 'Αγροτικό', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κλιματισμός αυτόματος', 'Μπλοκέ διαφορικό', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Fiat,Fiorino,2018,Fiat Fiorino '18 1.3 M-Jet  PROFESSIONAL,FiatFiorino1.3M-JetPROFESSIONALΠΡΟΣΦΟΡΑ'18,327593838,8.000€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,6/2018,177.000χλμ,Πετρέλαιο,1.248cc,80bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,,4,2,1ώραπριν,919,www.car.gr/327593838,"2114017070,6972891610,6979079796","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συρόμενη πόρτα δεξιά', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,115g/km,Euro6,
Nissan,Qashqai,2015,Nissan Qashqai '15,NissanQashqaiTEKNA/LEATHER/PANORAMA/LED/360'15,333456932,16.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2015,172.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,19ίντσες,,"6(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",Άγνωστο,2,,5,5,2ώρεςπριν,3462,www.car.gr/333456932,6981535011,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",8,5/2024,,Euro5,
Fiat,Punto,2012,Fiat Punto,FiatPunto'12,334423233,6.000€,Μεταχειρισμένο,Αλλο,1/2012,172.000χλμ,Πετρέλαιο,1.300cc,85bhp,Χειροκίνητο,Γκρι,,,,0€,,Άγνωστο,,,3,4,6ώρεςπριν,793,www.car.gr/334423233,6975625952,[],,,,,
Fiat,Punto,2017,Fiat Punto '17 Lounge_95ps_μόνο 38.000,FiatPuntoLounge_95ps_μόνο38.000χλμ_Ελληνικό_**Ευκαιρία**'17,334336812,11.820€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2017,38.000χλμ,Πετρέλαιο,1.248cc,95bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Alcantara,16ίντσες,0€,6(Εντός)/4(Εκτός)/5(Μικτό)λ/100χλμ,Ζυγό,1,,5,5,37λεπτάπριν,22,www.car.gr/334336812,"2314066717,6945469497","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",8,1/2025,89g/km,Euro6,"198,66€/μήνα"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
