brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κλάσηρύπων,Κίνηση,Κτέομέχρι,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση,Χρηματοδότηση
Suzuki,GrandVitara,1995,Suzuki Grand Vitara '95 HARD TOP,SuzukiGrandVitaraHARDTOP4X4'95,334256363,2.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/1995,75.000χλμ,Βενζίνη,1.600cc,80bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,17ίντσες,Άγνωστο,2,2,2,4,42λεπτάπριν,1558,www.car.gr/334256363,"6945312312,2109580095,6945312312","['Bucket καθίσματα', 'Cd player', 'Esp', 'Hardtop', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Μη καπνιστή']",,,,,,,
Fiat,Punto,2006,Fiat Punto,FiatPunto'06,332719852,3.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2006,218.000χλμ,Βενζίνη,1.242cc,65bhp,Χειροκίνητο,Μπορντό,Δίχρωμο,,,Ζυγό,1,2,5,4,3ημέρεςπριν,902,www.car.gr/332719852,6947897537,"['Abs', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']",,,,,,,
Porsche,Panamera,2014,Porsche Panamera '14 SE Hybrid Plug in 4X4 bosganas,PorschePanameraSEHybridPlugin4X4bosganas'14,329006573,51.850€,Μεταχειρισμένο,Κουπέ-Σπόρ,3/2014,118.000χλμ,Υβριδικόβενζίνη,2.995cc,416bhp,Αυτόματο,Καφέ(Μεταλλικό),Καφέ,Δέρμα,20ίντσες,Άγνωστο,2,10,4,4,4ώρεςπριν,866,www.car.gr/329006573,"6977942962,2107561092","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Euro6,4x4(4WD),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki,GrandVitara,2001,Suzuki Grand Vitara,SuzukiGrandVitara'01,333752789,6.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2001,154.700χλμ,Βενζίνη,1.590cc,95bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,,Ζυγό,2,2,3,5,3ώρεςπριν,1657,www.car.gr/333752789,6973807696,"['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μπλοκέ διαφορικό', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,4x4(4WD),1/2024,,,,
Citroen,C4,2015,Citroen C4 '15 DIESEL ACTIVE,CitroenC4DIESELACTIVEPLUS'15,332377382,12.499€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2015,65.000χλμ,Πετρέλαιο,1.560cc,110bhp,Αυτόματο,Μπλέ(Μεταλλικό),Γκρι,Ύφασμα,,Άγνωστο,1,4,5,5,42λεπτάπριν,1705,www.car.gr/332377382,"6945312312,2109580095,6945312312","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Kia,Picanto,2018,Kia Picanto,KiaPicanto'18,332566597,9.999€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2018,56.000χλμ,Βενζίνη,999cc,70bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Μαύρο,Ύφασμα,,Άγνωστο,1,4,5,5,6ώρεςπριν,612,www.car.gr/332566597,"6945312312,2109580095,6945312312","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Suzuki,Baleno,2017,Suzuki Baleno,SuzukiBaleno'17,330971859,10.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2017,115.000χλμ,Βενζίνη,1.242cc,90bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Γκρι,Ύφασμα,15ίντσες,Άγνωστο,1,6,5,5,1ημέραπριν,593,www.car.gr/330971859,"2421064540,2421095139,6977988533","['{Abs', '{Cd player', '{Eco start\\u002Fstop', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι']",Euro6,,5/2023,100g/km,110€,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",
Mazda,RX-8,2010,Mazda RX-8 '10 facelift,MazdaRX-8faceliftR3'10,331215081,10.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,2/2010,49.500χλμ,Βενζίνη,1.300cc,205bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Ύφασμα,18ίντσες,Μονό,2,,5,4,2ώρεςπριν,11086,www.car.gr/331215081,"2842024190,2842080245","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Tcs - asr', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,9/2024,,135€,14(Εντός)/10(Εκτός)/λ/100χλμ,
Audi,A3,2007,Audi A3 '07  Sportback 2.0 TDI,AudiA3Sportback2.0TDIquattro'07,325912320,11.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2007,142.590χλμ,Πετρέλαιο,2.000cc,140bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Μαύρο,Δέρμα,,Άγνωστο,1,6,5,5,2ώρεςπριν,2487,www.car.gr/325912320,"2842024190,2842080245","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,4x4(4WD),,,,,
