brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Επένδυσησαλονιού,Κατανάλωση,Τέληκυκλοφορίας,Χρηματοδότηση,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Κίνηση,Ρύποι(co2)
Audi,A3,2018,Audi A3 '18 SEDAN S-LINE BLACKEDITION,AudiA3SEDANS-LINEBLACKEDITIONNAVI'18,333372872,22.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2018,109.000χλμ,Βενζίνη,1.500cc,150bhp,Αυτόματο,Γκρι,Μαύρο,10/2024,Euro6,18ίντσες,Μονό,1,8,4,5,36λεπτάπριν,8262,www.car.gr/333372872,6907915669,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,,,,,
Toyota,Celica,1991,"Toyota Celica '91 1,6","ToyotaCelica1,6STI'91",334497236,8.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/1991,298.000χλμ,Βενζίνη,1.600cc,105bhp,Χειροκίνητο,Κόκκινο,Μαύρο,1/2024,,17ίντσες,Ζυγό,,,3,4,18ώρεςπριν,370,www.car.gr/334497236,6946061592,"['Bucket καθίσματα', 'Cd player', 'Ηλεκτρικοί καθρέφτες']",Δερματίνη,"7,50(Εκτός)/λ/100χλμ",,,,,,,,
Suzuki,Vitara,2021,Suzuki Vitara '21 HYBRID COMFORT,SuzukiVitaraHYBRIDCOMFORTALLGRIP'21,333084541,9.050€Μεζημιά,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2021,17.564χλμ,Υβριδικόβενζίνη,1.373cc,140bhp,Αυτόματο,Μπεζ,,,,,Ζυγό,,,5,5,9ώρεςπριν,7224,www.car.gr/333084541,6956665510,['Ελληνικής αντιπροσωπείας'],,,,,,,,,,
Nissan,Micra,2018,Nissan Micra '18  IG-T 100,NissanMicraIG-T100Visia'18,334510917,13.000€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,2/2018,130.000χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,5/2024,Euro6,17ίντσες,Χωρίς,5,8,5,5,3ημέρεςπριν,46,www.car.gr/334510917,6983668553,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hardtop', 'Parktronic', 'Tcs - asr', 'Turbo', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Ύφασμα,5(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ,0€,,,,,,,
Honda,Civic,1984,Honda Civic,HondaCivic'84,330283374,1.999€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/1984,90.000χλμ,Βενζίνη,1.200cc,70bhp,Χειροκίνητο,Γκρι,Γκρι,8/2024,,13ίντσες,Άγνωστο,1,,4,5,38λεπτάπριν,8153,www.car.gr/330283374,"6982893554,6982759952",[],Alcantara,"7(Εντός)/8(Εκτός)/7,50(Μικτό)λ/100χλμ",,,,,,,,
Dacia,Spring,2023,Dacia Spring '23 EXTREME ΠΡΟΣΦΟΡΑ ΜΕΧΡΙ,DaciaSpringEXTREMEΠΡΟΣΦΟΡΑΜΕΧΡΙ30/6'23,334344645,21.188€,,Αλλο,8/2023Καινούριο,,Ηλεκτρικό,,65bhp,Αυτόματο,Άλλο,,,,,Άγνωστο,,6,5,4,34λεπτάπριν,909,www.car.gr/334344645,"2109578933,2109532005,6941668010","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Usb', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Ράγες οροφής', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",Δέρμα,,,"318,75€/μήνα",48kw,310χλμ,1ώρες,27kwh,,
Bmw,530,2009,Bmw 530 '09 LCI M5 Θωρακισμένο,Bmw530LCIM5ΘωρακισμένοB4+'09,330009598,27.990€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2009,179.000χλμ,Βενζίνη,3.000cc,272bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,,,19ίντσες,Άγνωστο,1,,4,5,38λεπτάπριν,5653,www.car.gr/330009598,6987696000,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Θωρακισμένο', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δέρμα,10(Μικτό)λ/100χλμ,920€,,,,,,Πισωκίνητο(RWD),
Opel,Combo,2013,Opel Combo,OpelCombo'13,326243976,8.200€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/2013,145.000χλμ,Πετρέλαιο,1.300cc,90bhp,Χειροκίνητο,Ασπρο,Γκρι,,Euro5,16ίντσες,Άγνωστο,,,3,2,3ημέρεςπριν,1197,www.car.gr/326243976,6936885417,"['Abs', 'Bluetooth', 'Immobilizer', 'Turbo', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Συρόμενη πόρτα δεξιά', 'Υδραυλικό τιμόνι']",Ύφασμα,,,,,,,,,
Suzuki,Jimny,1999,Suzuki Jimny,SuzukiJimny'99,333146759,7.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/1999,303.000χλμ,Βενζίνη,1.298cc,85bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,9/2023,,15ίντσες,Ζυγό,2,2,3,5,3ημέρεςπριν,802,www.car.gr/333146759,6936885417,"['Cd player', 'Immobilizer', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Ράγες οροφής', 'Υδραυλικό τιμόνι']",Ύφασμα,,135€,,,,,,4x4(4WD),
Suzuki,Jimny,2000,Suzuki Jimny '00,SuzukiJimny4χ4'00,331421286,6.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2000,287.000χλμ,Βενζίνη,1.300cc,80bhp,Χειροκίνητο,Μπεζ,Γκρι,,,,Άγνωστο,,2,3,4,3ημέρεςπριν,1770,www.car.gr/331421286,6936885417,"['Abs', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",Ύφασμα,,135€,,,,,,,
