brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Τέληκυκλοφορίας,Παράδοσηστοσπίτι
Mercedes-Benz,ML300,2013,Mercedes-Benz ML 300 '13 V6 GRAND EDITION Blue,Mercedes-BenzML300V6GRANDEDITIONBlueEFFICIENCY'13,332918767,28.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2013,108.000χλμ,Πετρέλαιο,3.000cc,224bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,4/2025,230g/km,Euro5,17ίντσες,"8,50(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,42λεπτάπριν,2711,www.car.gr/332918767,6988113308,"['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αερανάρτηση', '{Ατρακάριστο', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon', '{Φώτα που στρίβουν']",,
Toyota,Auris,2008,Toyota Auris,ToyotaAuris'08,333990291,6.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2008,212.000χλμ,Βενζίνη,1.400cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,11/2024,,,16ίντσες,,Μονό,1,,6,5,5,13ώρεςπριν,23,www.car.gr/333990291,6943480427,"['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Tcs - asr', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κοτσαδόρος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",240€,
AlfaRomeo,Giulietta,2011,Alfa Romeo Giulietta,AlfaRomeoGiulietta'11,331885330,10.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2011,220.000χλμ,Πετρέλαιο,1.598cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,,,,Άγνωστο,,,,5,5,12ώρεςπριν,2188,www.car.gr/331885330,6994884506,[],,
Suzuki,Alto,2009,Suzuki Alto,SuzukiAlto'09,334076637,6.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,10/2009,108.391χλμ,Βενζίνη,999cc,69bhp,Χειροκίνητο,Κόκκινο,Γκρι,Ύφασμα,10/2024,,Euro4,14ίντσες,,Μονό,1,,4,5,4,10ώρεςπριν,319,www.car.gr/334076637,"6996083004,2271077063","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Μη καπνιστή', '{Υδραυλικό τιμόνι']",120€,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-Benz,C180,2013,Mercedes-Benz C 180 '13,Mercedes-BenzC180coupe'13,332876309,20.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2013,189.000χλμ,Βενζίνη,1.800cc,156bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,,,,Άγνωστο,,,,2,4,12ώρεςπριν,3448,www.car.gr/332876309,6994884506,[],,
Bmw,420GranCoupe,2020,Bmw 420 Gran Coupe '20 ΟΛΟΣ Ο ΚΑΤΑΛΟΓΟΣ ΤΩΝ EXTRA,Bmw420GranCoupeΟΛΟΣΟΚΑΤΑΛΟΓΟΣΤΩΝEXTRA!!!'20,332179417,66.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2020,26.000χλμ,Πετρέλαιο,2.000cc,196bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα,4/2024,,Euro6,19ίντσες,,Ζυγό,1,Πισωκίνητο(RWD),10,5,5,12ώρεςπριν,4288,www.car.gr/332179417,6994884506,"['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Hardtop', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Αντικλεπτικό gps', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Γραμμάτια δεκτά', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Κοτσαδόρος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon', '{Φώτα που στρίβουν']",150€,Ναι
Volkswagen,Fox,2006,Volkswagen Fox,VolkswagenFox'06,334510928,3.300€,Μεταχειρισμένο,Αλλο,8/2006,201.000χλμ,Βενζίνη,1.200cc,1bhp,Χειροκίνητο,Μαύρο,Γκρι,Ύφασμα,10/2024,,,15ίντσες,,Άγνωστο,,,4,3,5,3ημέρεςπριν,115,www.car.gr/334510928,6944007830,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Φώτα led']",,
Nissan,Qashqai,2008,Nissan Qashqai '08 1.5,NissanQashqai1.5Diesel'08,333799279,8.700€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2008,279.900χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,5/2025,,,,"6,50(Εντός)/5,50(Εκτός)/6(Μικτό)λ/100χλμ",Άγνωστο,,,,5,5,19ώρεςπριν,612,www.car.gr/333799279,6948253220,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,
Smart,ForTwo,2007,Smart ForTwo,SmartForTwo'07,333538364,5.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2007,139.000χλμ,Βενζίνη,1.000cc,65bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δίχρωμο,,,,,,,Ζυγό,,,,3,2,12ώρεςπριν,1644,www.car.gr/333538364,6994884506,[],,
