brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κλάσηρύπων,Παράδοσηστοσπίτι
Peugeot,3008,2009,Peugeot 3008 '09 155 THP PREMIUM 150HP  ME GRIP CONTROL,Peugeot3008155THPPREMIUM150HPMEGRIPCONTROLΕΛΛΗΝΙΚΟ'09,333121799,9.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2009,126.850χλμ,Βενζίνη,1.598cc,150bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Γκρι,Ύφασμα,9/2023,176g/km,16ίντσες,280€,"5,80(Εκτός)/7,10(Μικτό)λ/100χλμ",Μονό,2,Προσθιοκίνητο(FWD),6,5,5,9ώρεςπριν,759,www.car.gr/333121799,"2310642571,6977345009,6977345009","['{Abs', '{Adaptive cruise control (acc)', '{Cd player', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Turbo', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,
Peugeot,206,2004,Peugeot 206,Peugeot206'04,334457039,4.000€,Μεταχειρισμένο,Κάμπριο/Roadster,1/2004,310.756χλμ,Βενζίνη,1.600cc,119bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),,,5/2024,,16ίντσες,255€,,Άγνωστο,,,4,2,4,22ώρεςπριν,88,www.car.gr/334457039,"6945223855,6981619990,6945223855","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Immobilizer', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,
Volkswagen,T5,2004,Volkswagen T5,VolkswagenT5'04,316073401,10.000€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/2004,198.000χλμ,Πετρέλαιο,2.500cc,174bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,,16ίντσες,105€,,Ζυγό,,Προσθιοκίνητο(FWD),,3,3,2ημέρεςπριν,231,www.car.gr/316073401,"2521058883,6971591393","['Abs', 'Cd player', 'Immobilizer', 'Turbo', 'Ελληνικής αντιπροσωπείας', 'Κοτσαδόρος', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",,
Mg,TF,2005,Mg TF,MgTF'05,334457777,5.500€,Μεταχειρισμένο,Κάμπριο/Roadster,9/2005,103.523χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μπεζ,,6/2024,,16ίντσες,255€,,Άγνωστο,,Πισωκίνητο(RWD),4,2,2,22ώρεςπριν,30,www.car.gr/334457777,"6945223855,6981619990,6945223855","['{Abs', '{Bucket καθίσματα', '{Cd player', '{Αντ\\u002Fγή με σκάφος δεκτή', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Κλιματισμός(a\\u002Fc)', '{Υδραυλικό τιμόνι']",,
Fiat,GrandePunto,2007,Fiat Grande Punto,FiatGrandePunto'07,334451934,6.500€,Μεταχειρισμένο,Αλλο,9/2007,35.956χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Μπλέ,,,6/2024,,16ίντσες,135€,,Άγνωστο,,Προσθιοκίνητο(FWD),4,3,5,22ώρεςπριν,73,www.car.gr/334451934,"6945223855,6981619990,6945223855",[],,
Volkswagen,T4,2000,Volkswagen T4,VolkswagenT4'00,333362738,3.800€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/2000,256.856χλμ,Βενζίνη,2.500cc,110bhp,Χειροκίνητο,Ασπρο,,,6/2024,,,105€,,Άγνωστο,,Πισωκίνητο(RWD),2,4,3,22ώρεςπριν,120,www.car.gr/333362738,"6945223855,6981619990,6945223855",[],,
Mercedes-Benz,A180,2014,Mercedes-Benz A 180,Mercedes-BenzA180'14,334351685,25.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2014,133.254χλμ,Πετρέλαιο,1.800cc,200bhp,Αυτόματο,Ασπρο,,,1/2024,,18ίντσες,250€,,Άγνωστο,,,8,5,5,22ώρεςπριν,124,www.car.gr/334351685,"6945223855,6981619990,6945223855",[],,
Mercedes-Benz,230,2003,Mercedes-Benz 230 '03 C230 1800CC,Mercedes-Benz230C2301800CC192HP'03,30653327,7.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2003,315.000χλμ,Αέριο(lpg)-βενζίνη,1.800cc,192bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα,1/2022,,17ίντσες,300€,8(Εντός)/7(Εκτός)/7(Μικτό)λ/100χλμ,Ζυγό,,Πισωκίνητο(RWD),,3,5,18ώρεςπριν,1868,www.car.gr/30653327,6976766616,"['{Abs', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Esp', '{Immobilizer', '{Parktronic', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Δερμάτινα καθίσματα', '{Επιταγές δεκτές', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οροφή πανοραμική', '{Συναγερμός', '{Υδραυλικό τιμόνι']",Euro5,
Citroen,Saxo,1998,Citroen Saxo,CitroenSaxo'98,334083635,1.200€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/1998,185.642χλμ,Βενζίνη,1.100cc,70bhp,Χειροκίνητο,Κόκκινο,,,5/2025,,,135€,,Άγνωστο,,,,3,5,22ώρεςπριν,235,www.car.gr/334083635,"6945223855,6981619990,6945223855",[],,
Mini,CooperS,2003,Mini Cooper S,MiniCooperS'03,326651310,5.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2003,290.632χλμ,Βενζίνη,1.600cc,163bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Άλλο,Δέρμα,1/2023,,17ίντσες,265€,,Άγνωστο,,Προσθιοκίνητο(FWD),4,3,4,22ώρεςπριν,6035,www.car.gr/326651310,"6945223855,6981619990,6945223855",[],,
Audi,TTRS,2016,Audi TT RS '16 Audi tt tts ttrs,AudiTTRSAudittttsttrs'16,328839590,54.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2016,122.458χλμ,Βενζίνη,2.000cc,4bhp,Αυτόματο,Μαύρο,Μπεζ,Δέρμα,1/2023,,19ίντσες,265€,,Άγνωστο,,4x4(4WD),8,3,4,22ώρεςπριν,10134,www.car.gr/328839590,"6945223855,6981619990,6945223855","['{Eco start\\u002Fstop', '{Keyless', '{Parktronic', '{Turbo', '{Tv\\u002Fcamera', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υπολογιστής ταξιδιού']",,
Volkswagen,Polo,2008,Volkswagen Polo '08 Προσφορά μέχρι τέλος,VolkswagenPoloΠροσφοράμέχριτέλοςεβδομάδας'08,332886026,5.000€,Μεταχειρισμένο,Αλλο,1/2008,171.564χλμ,Αέριο(lpg)-βενζίνη,1.400cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,7/2023,,15ίντσες,250€,,Άγνωστο,,,4,6,5,22ώρεςπριν,1231,www.car.gr/332886026,"6945223855,6981619990,6945223855","['{Abs', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)']",,
