brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Μέγεθοςζάντας,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Τέληκυκλοφορίας,Κατανάλωση,Σύνολοκατόχων
Bmw,320,2007,Bmw 320 '07 ΜΕ ΤΕΛΗ ΤΟΥ,Bmw320ΜΕΤΕΛΗΤΟΥ2023!!'07,328759983,8.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2007,159.600χλμ,Βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),19ίντσες,Ζυγό,Πισωκίνητο(RWD),8,4,5,11ώρεςπριν,481,www.car.gr/328759983,"2114185399,6934312018","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,,,,,
Peugeot,3008,2018,Peugeot 3008 '18  1.5 BlueHDi 130HP ACTIVE GRIP,Peugeot30081.5BlueHDi130HPACTIVEGRIPΕΛΛΗΝΙΚΟ'18,334074349,20.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2018,134.000χλμ,Πετρέλαιο,1.500cc,130bhp,Χειροκίνητο,Γκρι(Μεταλλικό),18ίντσες,Ζυγό,Προσθιοκίνητο(FWD),6,5,5,2ώρεςπριν,320,www.car.gr/334074349,"2314001383,6972855407","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","292,84€/μήνα",Μαύρο,Ύφασμα,8/2024,109g/km,Euro6,107€,"5,50(Εντός)/3,50(Εκτός)/4,50(Μικτό)λ/100χλμ",1
Mercedes-Benz,C180,2016,"Mercedes-Benz C 180 '16 AMG ΠΑΚΕΤΟ , ΠΑΝΟΡΑΜΙΚΗ ΘΕΑ","Mercedes-BenzC180AMGΠΑΚΕΤΟ,ΠΑΝΟΡΑΜΙΚΗΘΕΑ,DIESEL'16",330557242,25.000€Ξένανούμερα,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2016,114.000χλμ,Πετρέλαιο,1.598cc,116bhp,Χειροκίνητο,Γκρι(Μεταλλικό),18ίντσες,Άγνωστο,,,5,5,2ημέρεςπριν,6848,www.car.gr/330557242,6970384295,"['Taxfree -ξένα νούμερα', 'Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,Μαύρο,Δερματίνη,10/2023,106g/km,Euro6,,"6,50(Εντός)/4,50(Εκτός)/5(Μικτό)λ/100χλμ",
Mercedes-Benz,CLA200,2018,Mercedes-Benz CLA 200 '18 CLA Coupé 200 AMG Line,Mercedes-BenzCLA200CLACoupé200AMGLine'18,332960301,30.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,3/2018,30.000χλμ,Βενζίνη,1.600cc,156bhp,Χειροκίνητο,Ασπρο,18ίντσες,Ζυγό,,10,5,5,2ώρεςπριν,6893,www.car.gr/332960301,2107488856,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Μαύρο,Άλλο,3/2024,,,145€,"7,50(Μικτό)λ/100χλμ",1
Kia,Ceed,2013,Kia Ceed,KiaCeed'13,333706454,10.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2013,121.700χλμ,Πετρέλαιο,1.396cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),16ίντσες,Ζυγό,Προσθιοκίνητο(FWD),7,5,5,2ώρεςπριν,377,www.car.gr/333706454,6983449642,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Μαύρο,Ύφασμα,3/2025,114g/km,Euro5,106€,,2
Mitsubishi,Colt,2005,Mitsubishi Colt '05 CZ3,MitsubishiColtCZ3DI-D'05,334336811,4.450€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2005,200.500χλμ,Πετρέλαιο,1.500cc,95bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Μονό,,,3,5,1ημέραπριν,205,www.car.gr/334336811,6906897293,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Μαύρο,,9/2024,,,,,2
Mercedes-Benz,B180,2017,Mercedes-Benz B 180 '17  d Edition B,Mercedes-BenzB180dEditionB7G-DCT'17,334015089,25.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2017,35.113χλμ,Πετρέλαιο,1.500cc,109bhp,Αυτόματο,Μαύρο,18ίντσες,Ζυγό,,6,5,5,2ώρεςπριν,806,www.car.gr/334015089,"6973997420,6973364557","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,Alcantara,,,,,,1
Volkswagen,Polo,2013,Volkswagen Polo '13 Look,VolkswagenPoloLookGTI'13,334035417,9.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2013,173.000χλμ,Βενζίνη,1.200cc,80bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),16ίντσες,Ζυγό,,8,5,5,11ώρεςπριν,945,www.car.gr/334035417,6982898485,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Φώτα led']",,Δίχρωμο,Ύφασμα,5/2024,128g/km,,153€,"4,60(Εντός)/3,30(Εκτός)/3,80(Μικτό)λ/100χλμ",2
Nissan,Qashqai,2010,Nissan Qashqai,NissanQashqai'10,333355428,12.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2010,186.622χλμ,Βενζίνη,1.598cc,117bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),18ίντσες,Μονό,,10,5,5,1ημέραπριν,275,www.car.gr/333355428,6981216367,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Μαύρο,Ύφασμα,8/2025,,,,"7,50(Εκτός)/λ/100χλμ",2
Volkswagen,Passat,2009,Volkswagen Passat,VolkswagenPassat'09,320661522,8.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2009,178.759χλμ,Βενζίνη,1.400cc,127bhp,Χειροκίνητο,Μαύρο,18ίντσες,Ζυγό,Προσθιοκίνητο(FWD),8,5,5,3ώρεςπριν,10249,www.car.gr/320661522,6948494378,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υπολογιστής ταξιδιού']",,,,,,,255€,,
