brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατανάλωση,Κίνηση,Αερόσακοι,Χρηματοδότηση,Ρύποι(co2),Κλάσηρύπων,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Suzuki,Swift,2008,Suzuki Swift,SuzukiSwift'08,331770498,6.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2008,118.000χλμ,Βενζίνη,1.328cc,92bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,5/2024,15ίντσες,135€,Μονό,1,3,5,2ώρεςπριν,1717,www.car.gr/331770498,6987079421,"['Abs', 'Cd player', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι']",,,,,,,,,,
Suzuki,Ignis,2004,Suzuki Ignis,SuzukiIgnis'04,333212900,4.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2004,328χλμ,Πετρέλαιο,1.248cc,70bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Ύφασμα,1/2024,15ίντσες,,Ζυγό,1,5,5,15ώρεςπριν,88,www.car.gr/333212900,6909656896,"['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Turbo', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Υδραυλικό τιμόνι']","4,50(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),4,,,,,,,
Mercedes-Benz,E200,2011,Mercedes-Benz E 200 '11 W207 1.8 AMG,Mercedes-BenzE200W2071.8AMGPACK'11,319116468,27.000€,Μεταχειρισμένο,Κάμπριο/Roadster,7/2011,99.925χλμ,Βενζίνη,1.800cc,204bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Δέρμα,2/2025,19ίντσες,,Ζυγό,1,2,4,3ημέρεςπριν,10672,www.car.gr/319116468,6944912593,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα xenon']",,,,,,,,,,
Mercedes-Benz,C180,2004,Mercedes-Benz C 180 '04  Compressor Sportcoupé,Mercedes-BenzC180CompressorSportcoupéAutomatic'04,333182367,6.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2004,230.000χλμ,Βενζίνη,1.796cc,143bhp,Αυτόματο,Ασημί(Μεταλλικό),,Ύφασμα,5/2024,16ίντσες,,Ζυγό,1,3,4,20ώρεςπριν,1228,www.car.gr/333182367,6944944275,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Keyless', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,
Mini,Countryman,2019,Mini Countryman '19 1.5  136HP AYTOMATO *ΔΙΠΛΟΥ,MiniCountryman1.5136HPAYTOMATO*ΔΙΠΛΟΥΣΥΜΠΛΕΚΤΗ*ΕΛΛΗΝΙΚΟ'19,331009448,20.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2019,100.000χλμ,Βενζίνη,1.500cc,136bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,16ίντσες,158€,Ζυγό,,5,5,2ώρεςπριν,2132,www.car.gr/331009448,"2102828001,6945955830,6987721808","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","7,20(Εντός)/5,10(Εκτός)/5,90(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),6,"409,27€/μήνα",132g/km,Euro6,,,,
Volkswagen,Golf,2014,Volkswagen Golf '14 ••ΑΡΙΣΤΗ ΚΑΤΑΣΤΑΣΗ,VolkswagenGolf••ΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ-ΕΛΛΗΝΙΚΟ•'14,334496946,11.999€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2014,140.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Μαύρο,Μαύρο,Ύφασμα,,,,Άγνωστο,,5,5,19ώρεςπριν,108,www.car.gr/334496946,"2310810080,6983220220,6986333300","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-Benz,GLA220,2014,Mercedes-Benz GLA 220 '14 AMG,Mercedes-BenzGLA220AMGLINE'14,325757390,32.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2014,74.000χλμ,Πετρέλαιο,2.200cc,176bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,9/2023,19ίντσες,116€,Άγνωστο,1,5,5,3ημέρεςπριν,3510,www.car.gr/325757390,"6942466912,6944610264,6942466912","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Ράγες οροφής', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","6,40(Εντός)/5,60(Εκτός)/6(Μικτό)λ/100χλμ",,8,,119g/km,Euro6,,,,
Citroen,C3Picasso,2013,Citroen C3 Picasso,CitroenC3Picasso'13,317540359,8.900€,Μεταχειρισμένο,Van/MiniBus,3/2013,109.000χλμ,Βενζίνη,1.400cc,95bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,15ίντσες,,Άγνωστο,1,5,5,3ημέρεςπριν,1300,www.car.gr/317540359,"6942466912,6944610264,6942466912","['Abs', 'Bluetooth', 'Cd player', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),6,,141g/km,Euro5,,,,
Volkswagen,Polo,2012,Volkswagen Polo '12  GTI DSG,VolkswagenPoloGTIDSG(7-Gear)'12,334249306,15.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2012,106.000χλμ,Βενζίνη,1.400cc,180bhp,Αυτόματο,Ασπρο,Μαύρο,Ύφασμα,4/2024,17ίντσες,166€,Μονό,2,4,5,2ώρεςπριν,2066,www.car.gr/334249306,6942845830,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']","7(Εντός)/5,90(Μικτό)λ/100χλμ",,4,,,,,,,
