brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Κίνηση,Παράδοσηστοσπίτι
Peugeot,2008,2017,Peugeot 2008 '17 1.6 ACTIVE,Peugeot20081.6ACTIVE-ΙΔΙΩΤΗΣ'17,334307293,13.450€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2017,100.000χλμ,Πετρέλαιο,1.598cc,100bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Γκρι,Ύφασμα,7/2025,90g/km,16ίντσες,Euro6d,0€,"50(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",Ζυγό,1,10,5,5,8ώρεςπριν,271,www.car.gr/334307293,6977708650,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel,Astra,2019,Opel Astra '19 1.6 ΙΝΝOVATION,OpelAstra1.6ΙΝΝOVATION/AUTO/CAMERA/ΗΛΙΟΡΟΦΗ/ΖΑΝΤΕΣ/EU6'19,333679288,18.590€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2019,100.000χλμ,Πετρέλαιο,1.598cc,136bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,,,18ίντσες,Euro6,,"6,10(Εντός)/4,10(Εκτός)/4,80(Μικτό)λ/100χλμ",Άγνωστο,1,6,5,5,16ώρεςπριν,1208,www.car.gr/333679288,"2114185859,6908806888","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","338,19€/μήνα",Προσθιοκίνητο(FWD),Ναι
Audi,A3,2020,Audi A3 '20 SPORTBACK 1.6 30 TDI 116HP BUSINESS,AudiA3SPORTBACK1.630TDI116HPBUSINESSΕΛΛΗΝΙΚΟ'20,333951761,16.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2020,187.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,5/2024,101g/km,16ίντσες,Euro6,99€,5(Εντός)/3(Εκτός)/4(Μικτό)λ/100χλμ,Ζυγό,1,8,5,5,2λεπτάπριν,439,www.car.gr/333951761,"2314001383,6972855407","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']","237,04€/μήνα",Προσθιοκίνητο(FWD),
AlfaRomeo,Alfa156,1999,Alfa Romeo Alfa 156 '99  1.6 16V T.Spark,AlfaRomeoAlfa1561.616VT.SparkDistinctive'99,333808457,2.950€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/1999,225.000χλμ,Βενζίνη,1.600cc,120bhp,Χειροκίνητο,Κόκκινο,Καφέ,Δέρμα,11/2024,,16ίντσες,,,,Ζυγό,,,4,5,1ώραπριν,304,www.car.gr/333808457,"6978332106,6957371886","['{Abs', '{Bucket καθίσματα', '{Immobilizer', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι']",,Προσθιοκίνητο(FWD),
Volkswagen,Touareg,2007,Volkswagen Touareg '07 3.6  280 ps,VolkswagenTouareg3.6280psV6'07,331651719,20.950€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2007,72.500χλμ,Βενζίνη,3.600cc,280bhp,Αυτόματο,Γκρι(Μεταλλικό),Καφέ,Δέρμα,10/2024,,18ίντσες,,,,Μονό,1,,5,5,1ώραπριν,1067,www.car.gr/331651719,"6978332106,6957371886","['{Abs', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Parktronic', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υπολογιστής ταξιδιού']",,,
Saab,9-5,2011,Saab 9-5 '11 9-5 AERO XWD,Saab9-59-5AEROXWD220PS'11,331611280,14.750€,Μεταχειρισμένο,Λιμουζίνα/Sedan,4/2011,191.000χλμ,Βενζίνη,2.000cc,220bhp,Αυτόματο,Ασημί(Μεταλλικό),Γκρι,Δέρμα,12/2023,,18ίντσες,,,,Μονό,1,,4,5,1ώραπριν,3684,www.car.gr/331611280,"6978332106,6957371886","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Head-up display', '{Immobilizer', '{Keyless', '{Parktronic', '{Turbo', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",,4x4(4WD),
Audi,A5,2008,Audi A5 '08  Coupé 3.2 FSI quattro,AudiA5Coupé3.2FSIquattrotiptronic'08,331651095,20.950€,Μεταχειρισμένο,Κουπέ-Σπόρ,5/2008,57.600χλμ,Βενζίνη,3.200cc,265bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μπεζ,Δέρμα,5/2024,,18ίντσες,,,,Μονό,1,,2,4,1ώραπριν,2895,www.car.gr/331651095,"6978332106,6957371886","['{Abs', '{Bucket καθίσματα', '{Esp', '{Immobilizer', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",,4x4(4WD),
